Poem Name,Poem Content
2020,"Up late scrolling
for distraction, love, hope,
I discovered skew dice.
In the promotional video
you see only a mathematician’s hands,
like the hands of god,
picking up the dice one at a time,
turning them over and over 
before returning them 
to the hard wood table,
where each lands with something 
between a whoosh and silence,
face up, face down,
some faces lying on their side,
as at other archaeological sites.
I bought a set of the patented dice,
each with its own logic and truth 
and aleatory uncertainty—
at home alone I rolled them
across my dining table
to pass the time, 
and time with its own logic
passed. Dear god.
I haven’t been touched in so long."
Saying of Il Haboul,"Guardian of the Treasure of Solomon 
And Keeper of the Prophet’s Armour
My tent
A vapour that
The wind dispels and but
As dust before the wind am I
Myself."
Disputed Tread,"Where she steps a whir,
Like dust about her feet,
Follows after her
Down the dustless street.
Something struggles there:
The forces that contend
Violently as to where
Her pathway is to end.
Issues, like great hands, grip
And wrestle for her tread;
One would strive to trip,
And one would go ahead.
Conflicting strengths in her 
Grapple to guide her feet,
Raising an unclean whir,
Like dust, upon the street."
Pole| |Sport,"We turn and turn ourselves
Into the question. We turn ourselves against
Its gravity. An axis we defy.
The idea             spun
Current as—:     an absolute
Value, faith presents        a gift
For our unboxing—: between poles.
We are the line women.
Hungry-handed transformers
Handed lightning—: bolts, striking.
Who wants to address     America?
When I stand in               between
Two poles, I am the absolute        value of
The lyric—: I have been
Where she stands.
Between poles she is the determinant
Of—: gravity. A force, she
Stands in| |for
Her own won now. Headline—:
No flag does justice.
She scales the staff
Herself—: unflagging,
She waves."
Curious and Counting,"How do I get in your atmosphere?
Tell me about your signs, look me planetarily
—those Venuses in your eyes?
There was no thought after you
and I wrote it down. Wandered
to the wailing with my back exposed.
My kind of Sunday, your knees
buffalo and kicking up plains.
We go sockless for beauty.
Ribbons unwind bring us to tied,
I’m at your symmetry, remembering
all your digits and your lucky number nine."
The Inflammation,"The air in the high school is swollen. My heart balloons
as I smooth my name tag down. The woman checking
me in at Austin East Magnet High School has a warning,
“They might not have much to say.”
I have not come to measure their verbs or their vowels.
My vested interest is their red blood cells. East Knoxville,
where six students in one year, from one high school,
are dead by gun violence.
As I walk to Ms. Hall’s young writers class, 16-year-olds
with the mud-red beauty of the Maasai fly past me in the
hall late for class. There are no visible signs of bruising.
A blood test could reveal the damage done these last 400
years. A blood test is a fine modern measurement of the
homocysteine levels moving through precious growing
creative bodies. There are no blood tests in my bag and I
only have one hour to measure what I have traveled here
to know. East Knoxville, fifty years before, every grocery
store, bakery, doctor’s office, barbershop, pharmacy, juke
joint, Miss Lucille Reader of Palms, closed down and laid
to rest on the new Civic Center pyre. Blood sugar levels
bought season tickets to the Moon. Families on the East
side came to know American architecture intimately, how
the right side of Martin Luther King, Jr. Boulevard arced
into the halls of the high school, and the left side dangled
at the front door of Jarnigan & Son Mortuary, oldest Black
business in town. A swelling is how the body begins to heal.
A blood test can be historical marker for the inflammation
of disparity. My ballooning heart enters the door of their
A, B, and O world. I am met by 14 framed faces of curious
encyclopedic sunlight. Their Wolof and Benin mouths follow
me around the room like awakened cicadas. I ask them to read.
They stop buzzing, mid-air, hold their patterns, wondering
if I have come to take something else from them. The one
in perfect white sneakers with BEATS dangling off his ears
keeps his head under his hoodie. The two by the window
use the glass as dream portal, watching, then aiming, their
father’s eyes farther out into the rising Blue Ridge Mountain
light settling the pitched roof of Jarnigan & Son. The room
is a clover field of hide, luck, and chance, but the burning
tenderness of their inflammation wants out. Inflammation
is a fight response from the body when the immune system
leaps into action even when there is no visible injury. Angelina
extends her grey tablet out to me. Her dark Motown eyes
begin their return to Earth. I read her poem as if it belongs
in my mouth. Their words reach and ricochet. My immune
system kicks in just as Jamartray decides I might be worthy,
handing me his fragile worry-filled word rope, his mother’s
Lindy Hop, in and out of the Double-Dutch rope of illness.
Shiasia’s spunky Afro-Latin is read with Black girl attitude
kept under my tongue for moments when the fear in their
eyes is molten and strawberry. She cheers. Leonard begins
with a piercing refusal to never be a statistic and ends with
his mother’s double helix—HeLa—never-ending cells of
extraordinary love alighting every face in the room. It is
9:00 am on a Friday morning in East Knoxville. I have lost
my tally and count. The young poets have broken my fever."
I Was Told the Sunlight Was a Cure,"for the cloak of despair thrown over our bright & precious
corners but tell that to the lone bird who did not get the memo
dizzy & shouting into the newly unfamiliar absence of morning
light from atop a sagging branch outside my window—a branch
which, too, was closer to the sky before falling into the chorus
line of winter’s relentless percussion all of us, victims to this flimsy math 
of hours I was told there was a cure for this. I was told the darkness
would surrender its weapons & retreat I know of no devils who evict themselves
to the point of permanence. and still, on the days I want
to be alive the sunlight leaves me stunned like a kiss
from someone who has already twirled away by the time my eyes open 
on the days I want to be alive I tell myself I deserve a marching band
or at least a string section to announce my arrival above
ground for another cluster of hours. if not a string section, at least one
drummer & a loud-voiced singer well versed in what might move me
to dance. what might push my hand through a crowded sidewalk
towards a woman who looks like a woman from my dreams
which means nothing if you dream as I do, everyone a hazy quilt
of features only familiar enough to lead me through a cavern of longing
upon my waking & so I declare on the days I want to be alive I might drag
my drummer & my singer to your doorstep & ask you to dance
yes, you, who also survived the groaning machinery of darkness
you who, despite this, do not want to be perceived in an empire
awash with light in the sinning hours & we will dance
until our joyful heaving flows into breathless crying, the two often pouring
out of the chest’s orchestra at the same tempo, siblings in their arrival & listen,
there will be no horns to in the marching band of my survival.
the preacher says there will be horns at the gates of the apocalypse & I believed even myself
the angel of death as a boy, when I held my lips to a metal mouthpiece & blew out a tune
about autumn & I am pressing your ear to my window & asking if you can hear the deep
moans of the anguished bird & how the wind bends them into what sounds like a child
clumsily pushing air into a trumpet for the first time & there’s the joke:
only a fool believes that the sound at the end of the world would be sweet."
River Roads,"Let the crows go by hawking their caw and caw.
They have been swimming in midnights of coal mines somewhere.
Let ’em hawk their caw and caw.
Let the woodpecker drum and drum on a hickory stump. 
He has been swimming in red and blue pools somewhere hundreds of years 
And the blue has gone to his wings and the red has gone to his head. 
Let his red head drum and drum.
Let the dark pools hold the birds in a looking-glass. 
And if the pool wishes, let it shiver to the blur of many wings, old swimmers from old places.
Let the redwing streak a line of vermillion on the green wood lines. 
And the mist along the river fix its purple in lines of a woman’s shawl on lazy shoulders."
A Flair for Language,"She wasn’t easy, is a thing we say
about someone we love. My father
says this about his mother. Grandmother’s
words could cut you from the far side
of a room, well into her last years.
The expressions on her face were widely
reported. It wasn’t necessarily the content
of the opinion, although, it was sometimes,
but how it was packaged and delivered
to your door. One might say she had a flair
for language, if it was a Trini ole-talking.
Which is why I had little choice but to laugh,
one of the last times I saw her,
lustrous as velvet in her dark brown flesh,
recalling me, under the glare of early dementia,
as a lovely little darkie, in a more fragile
voice than the one bellowing into my girlhood,
Fatty-Fatty-Boom-Boom. Her smile hanging
off the long vowel, like a cat’s tail, upturned
to the moon. You see; it’s a miracle I still love
rhyme, the coincidence of language and time."
By the Lake,"Past years are figures in old glass
wobbly in a lake
wrinkled by a stone.
The lake will settle down
a face will reappear
in a scent of evergreen.
Years are present as noon as now
or in a rippled moonglade night;
they summon shadow as in fragile memory
easy as stepping into a lake
breaking the present mirror.
It is the way events are stored,
they come back twisted
in wrinkles of water
blurred inscapes into today."
Itinerary,"Monologues of white interiors
time-dried of water and wind
crowds gather in history’s emptiness
weightless in the hollows of memory
description without witness
so long ago lost."
Shadow and Light,"Incised in concrete
knife-edged shadow
frond a perfect
arrest of clarity
a palm frond arrow
from a declining sun
shadow and light
lust of epiphany
the illusion that walks
with me on concrete
invisible come-along
shadow and light
epiphany of the shadow
tangible as light palm shape
holds me timeless until
without thinking I pass by
an arrest of clarity held
and released by a declining
sun : step over the shadow
light vanishes a passerby"
How We Lived,"           2017, 2018, 2019, 2020, 2021, 2022…
And sparrows unthread nests, bring their young nothing
And shadows best seen inside the pitch of a cave
And three hearts stabbed on a train because of courage
And jacarandas flick cinder and blacken the ground
And the harbor horn is a creature roping hulls to the reefs
And the reefs gleam with chrome and absence
And absence is welcome
The bullet is welcome
The malignant cell is welcome
The gray faces and their merciless tongues are welcome
And a father is reptilian in his regard. And a mother stitches
Her lips like a wound.  And the wound smells of silence and its blaring
And a child lays hands on a mine.  And a man swallows his lies without measure
And a woman is told she is less than him she is less than the bodies left
Behind, less than the unmade, the never-was, the dirt forgotten by the tracks
And I no longer care about the losses. I no longer care if the last 
Bit of bark is stripped from the earth, if the starved possum survives
The road, whether my neighbor coughs blood while she drags off a red
Or the hand turning the knob means me harm. I no longer fear 
The inexorable diagnosis, the oceans rising to such heights
In my dreams they are monstrous but we are all still running 
Towards each other, in this latest hour, refusing to shutter our eyes."
Night of Telescopes,"I have buried my share and hardly anyone knows.
A house must hold ghosts, writing
Names across funereal woods and windows
Good for viewing the lingering past. 
This night of telescopes fixes the cold
October sky—a Saturn so delicate as if
Sketched by moths holding to nearby stones
For their lives. The sutures of the moon drift
Into sharpness and a hand points to the inevitable screen
Another haunt in this dim garden where voices ride
Across pines and the invisible fountain locked
In the same little song. Here is the Sea of Crisis
And I would recognize its expanse anywhere
Having visited often, even beneath my lids when I disappear
At night to visit with a father who no longer knows me
Or the dead who always do, and glow like the rain or a rose
Finished with the business of becoming. I can’t say the worst 
Because I’ll keep living it. Machine of the mind. Belt 
Of the hunter. I can spot his patient blade from either coast—
The one where I drown the one where I love the one
Where I keep rowing through the blaze and the black."
Florida Poem,"After summer rains,
marble thumb snails and beetles
blot the window screens 
with pearl and drone. Gardenias swell,
breathing is aquatic and travel
a long drawl from bed to world.
During drought,
the heat becomes a devil
girl with oven-red lips
who wants your brains puddled
in a brass-capped mason jar,
who wants the silver stripped
from your tongue, the evening pulse
between your legs, yes, she wants
everything from you."
The Function of a Wing,"They arrive as red masked druids, ghost
The edge of the desolate golf course, sandhill
Cranes poised between the tall grass and oaks
Lathered in moss, a fading, this pocket of homes
Long past afternoons of stickball and smoking grills,
Hearts alert to the rhythm of clouds
Despite how loneliness drifts beside us all.
Each day’s arc is a wing, a wish hurling
Across the sky, and also time, because what is the clock
But a ship of travel we must board upon our first breath?
I have read about a girl who pinned her healing to the making
Of cranes, and how they navigate by starlight, instinct, the ancient
Maps scored inside the lace of their bones. They know how to dance.
They arrive as themselves. A newborn will curl around her mother’s
Temples in peace, a place where no harm will descend
in its poisonous light, its cell-stripping forms,
A place of quiet, and journey that is a kind of returning to love."
The Depths of the Grass,"Look, in the early light, 
   Down to the infinite 
   Depths at the deep grass-roots; 
      Where the sun shoots 
In golden veins, as looking through 
   A dear pool one sees it do; 
   Where campion drifts 
Its bladders, iris-brinded, through the rifts 
      Of rising, falling seed
   That the winds lightly scour—
Down to the matted earth where over 
   And over again crow’s-foot and clover
      And pink bindweed
      Dimly, steadily flower."
Corazón in Fall,"People like my poems better when
They are serious and lament the fading
Vessels in my cornea, the fog of days
How I’ll be the last one left on the deck
At the bottom of one of the great oceans.
They don’t want to read about the cure
And how I will never stop listening
To Robert and his lovely sliced mouth
I don’t care how old I get. Poems are like
Fists or lipstick, why waste them on me
Trudging through the park with my free 
Pandora and infectious truths, songs from before the new
Cool kids were born and endless, in the time of disco naps
Delicious chain smoking, the world and its innumerable fires
Then and now and now. A voice bleeds beneath my ribs
Into the rubber-band palms and baby lawns and empty cans
Crammed into the recycling, its triangle logo reminds me of radio
Active garbage buried at the core. We break. We sing the familiar 
Because it feels soft and always. The numbers rise like souls
Flying into the hole no one can see, and did I tell you my arms
Carry decades of lockets shaped like metal hearts, corazones ready
To click open or shut depending on what I can never tell.
There are so many, all that promise and defeat, coiled around
My brittle turquoise view."
Monologue of One Whom the Spring Found Unaccompanied,"It happens, at times,
That the route becomes beautiful
The incline gentle and the landscape rich
And on the heavy air the smell of growing things
We think the secret hidden in the land
Or month or year
Or traced upon the chart by which we go,
But do not tinker so with subtleties
You brush the secret with your hand,
As the arm swings, striding.
Gone, you’ll know how much more real her absence is
With sound of her that’s missing now in every sound
With walk of her that’s missing now in every passer-by
Who speaks incessantly
Speaks of how the buds unfold
Of how these days the twigs are fat
Of how all things begin to bloom
How every god-damned thing begins to bloom."
house hunting as an act of faith,"               in the dream i eat the sirens       my eyes go bloodshot & i start
               speaking     in    decibels    only    squirrels     &    vaginas     can
               hear        everythang emergency             sight of red lights criss-
               crossing makes me have to pee              some part of me always
               leaking: sweat      cherry kombucha        mysterious fluorescent
               discharge       cheap champagne        pain  liquified  &  indelible
               toughens  my  meat            but  just  when  i  think  i’m  inedible
               somebody always        nibbling at my edges        i am the square
               root of what academia alleges            my methodology is breath
               seeking a structure where i can exhale reckless         where fear
               ain’t mudded in the sheetrock & painted milk white         where
               the walls ain’t out to smother me          where the foundation is
               cracked just enough for spirit to seep in           where i can sleep
               amidst a barricade of trees &   quiet parades around the house
               disguised as technicolor sunset        disguised as deer slick with
               fog        disguised as fig bush draped in snow           disguised as
               ancestors dark & bright as—"
[Like the Japanese cherry blossoms wedded to the soil’s palm],"Like the Japanese cherry blossoms wedded to the soil’s palm
planted in front of the train station; or the yellow-black dance
of the tiger swallowtail’s wings as it flees; or the echoes that follow
after I thunder loud against the kitchen cabinets; or the summer fire
hitched to the air we breathe—the chuckle of ash sneaking into our lungs;
or the way your eyes elope when you’ve had enough of my
tit-for-tat-I’m-right-your-wrong song; or wind—always, there is wind—
that kicks the kink of the whine and wail of the German shepherd left behind;
or the night’s bat wing splashed against the living room window
as I sleep on the couch; or the final five-hundred pairs of northern spotted owls
married to the asylum of pine and bark and nest and play in the State we claim,
the owls now near-threatened with their thirteen hoots and barks and whistles,
with their shabby dresses and dark-in-love stares, their piece of the American pie—
don’t they, too, deserve the kickshaws of what this handsome planet
has to offer, don’t we? . . . Don’t leave me. We may not be a pair of owls
nested in the forest of Douglas firs trying to make muss a home
humans made of this land, timber harvestings and land conversions.
I may have farmed a muck of our land, too,
but Babe, no matter the season of fresh lavender and children playing
in the hallway, no matter the bowls of leftover ramen mean with age,
no matter the abysmal cycle of lists I conjure in this poem, no matter
if every last owl has escaped—Lord, let them escape—the foul-fowl lust
of humankind, no matter the huff I hang on your every word,
I love you. You are where I belong."
Fracture,"When the grizzly cubs were caught, collared, and taken away—
relocated they call it—
their mother ran back and forth on the road screaming.
Brutal sound. Torn from her lungs. Her heart,
twisted knot, hot blood rivering
to the twenty-six pounding bones of her feet.
Just weeks before
I watched a bear and her cubs run down a mountain
in the twilight.
So buoyant, they seemed to be tumbling
to the meadow,
to the yarrow root they dug, rocking
to wrest it from the hard ground, fattening for winter.
They were breathing what looked like gladness.
But that other mother . . .
Her massive head raised, desperate to catch their scent.
Each footfall a fracture in the earth’s crust."
