Poem Name,Poem Content
Kansas,"It’s love you left, we’ll say
when you never come back
for bells for the dead, for the grave
stone heads: the only ones
that don’t keep count. Don’t
we know it’s love that keeps you
away, that marks every mile
devotion? You would’ve went
to the end with each one,
made Orpheus turn back.
Would’ve fell / would’ve leapt /
would’ve left. The living is easy
/ the leaving is easy / living
with ghosts, it was easy
to give up your home
to your father, struck
with the same grief
of living, demanding
what are you gonna do
with my mama’s house?
Shorn grass & damp dirt:
they’ll put me in the middle.
I kick the ground like tires,
feeling dumb without flowers /
tokens / grief / anything
in my hands. You’ll bring me
back home, won’t you? Stamp
it down, as if the flat earth
could answer sometimes this,
too, is love. You left. "
Vapor,"When it happens the rain
is not black but powder.
A noise bleeds from your ears
and everything quakes
alive inside you:
the circuits of the flowers
lighting up across a meadow,
the nanoglow
of a sea years from here
           —:And like the flash
across an event horizon,
your thought disappears
:—and then the mind
threshed, and then the brain
a perfume of proto-pollen:
a microscopic cloud
radiating in a geranium
in the meadow of another country:
a powder the elk eat
in the sudden black rain.
 "
Nebraska,"I could play the accordion
so I was selected for the amateur propaganda team.
It was very cold. I had to stop up the hole in my shoe.
I used the lid of a tin can.
As far as I can tell, there's nothing
trustworthy about my experience of reality.
I stand on one leg. I stand on the other leg.
I rotate my arms clockwise
and call this exercise. In the home movie
I recognize my coat. Taking my turn
with the mechanical bull at Uncle Ron’s
Wild West Saloon I hold on for as long as a minute.
So little happens on a given day,
which is why I play the accordion
until I am riddled with someone’s applause,
which is why I drive to Arthur County to see
the hay bale church and the world’s smallest courthouse.
If I was a blue jay or some kind of robin
I would fly figure-eights over the cottonwoods.
Despite the wind, I would not curse the wind.
The future is a rumor like the past.
The new anxiety supplants the old anxiety.
The continent I stand my ground on drifts,
which is why I have asked you to marry me.
I am solid gold, I say, and I am capable
of loving you until the final asteroid
hides Omaha under an ocean of ash,
but you’re unavailable.
They were on their way to the ocean
when they made their minds up to stay here.
The grass was so tall they picked wildflowers
without stepping down from their horses.
We are all so lucky. It is terrifying.
It is a blue sky day for all the freezingness.
I blink into the chasm of sunlight endlessly.
I forget my life, but then I remember my life."
Seeing the Body,"Not hers but mine. Not hers ever again. Ever
hers, my body pulled through, two
long windows open in the dark of birth,
the gold cord raised too in its wake. Awake,
the first morning. The first morning & all,
all the windows were closed inside. A blindness
scalding broken sight. The silence pulled through
my nostrils & veins, the ether of air failing
flesh. I get up from the shape I once was
& open the white blinds in my brother's house.
The light is specific. It is the 29th morning
of July. Last night they dragged me howling from her
body in the room. The room had a name,
number 3315, in the cardiac wing. In the room
I saw her winged shape leave, rise, forgive the
vessel that fled her. Now mine or ours, I
stare in the mirror while everyone sleeps
the aggrieved sleep of the living. Behind my eyes
a dead woman looks back at me with no trace
of recognition. I say 'Mother' & my own
feral mouth opens. Closes without any light."
The Awakening,"I dreamed that I was a rose
That grew beside a lonely way,
Close by a path none ever chose,
And there I lingered day by day.
Beneath the sunshine and the show’r
I grew and waited there apart,
Gathering perfume hour by hour,
And storing it within my heart,
        Yet, never knew,
Just why I waited there and grew.
I dreamed that you were a bee
That one day gaily flew along,
You came across the hedge to me,
And sang a soft, love-burdened song.
You brushed my petals with a kiss,
I woke to gladness with a start,
And yielded up to you in bliss
The treasured fragrance of my heart;
        And then I knew
That I had waited there for you."
Flame-Heart,"So much have I forgotten in ten years,
  So much in ten brief years; I have forgot
What time the purple apples come to juice
  And what month brings the shy forget-me-not;
Forgotten is the special, startling season
  Of some beloved tree’s flowering and fruiting,
What time of year the ground doves brown the fields
  And fill the noonday with their curious fluting:
I have forgotten much, but still remember
The poinsettia’s red, blood-red in warm December.
I still recall the honey-fever grass,
  But I cannot bring back to mind just when
We rooted them out of the ping-wing path
  To stop the mad bees in the rabbit pen.
I often try to think in what sweet month
  The languid painted ladies used to dapple
The yellow bye road mazing from the main,
  Sweet with the golden threads of the rose-apple:
I have forgotten, strange, but quite remember
The poinsettia’s red, blood-red in warm December.
What weeks, what months, what time o’ the mild year
  We cheated school to have our fling at tops?
What days our wine-thrilled bodies pulsed with joy
  Feasting upon blackberries in the copse?
Oh, some I know! I have embalmed the days,
  Even the sacred moments, when we played,
All innocent of passion uncorrupt.
  At noon and evening in the flame-heart’s shade:
We were so happy, happy,—I remember
Beneath the poinsettia’s red in warm December."
The Philosopher Did Not Say,"What secret had Nietzsche discovered
when he walked the Turin streets
before he flung his arms around
a horse being beaten and collapsed
into a decade-long coma? Clinging
to the cowering brown beast, he said
Mother, I am stupid. Wild hair and a three-
piece tweed suit constrained the body
that held the mind that knew too much.
Why am I mining dead men for answers
when they were all as mad as I am?
The horse, his eyes hollow as those
of the Burmese elephant that Orwell shot
decades later, had the look of every
betrayed creature. Perhaps Nietzsche
saw the shock in the animal’s eyes—
how every human contains the capacity
to inflict cruelty. The look that turns
to recognition, to resignation, to an eye
reflecting a field full of fallen horses."
Ghost Eden,"after Anthony Haughey’s “Settlement”
              Garden of rock.
Garden of brick and heather.
              Garden of cranes with their hands raised
as if they know the yellow answer:
              to gather together—safety in numbers.
Garden of drywall frames, holes for windows
              punched out like teeth.  Garden of bar fights.
Garden of rubble and gaps,
              spectral for-sale signs knocked
from wooden posts, bleached down
              to numbers ending in gardens of overgrown lots.
We are falling into ruin, garden
              of scaffolding and shale and gravel—
give us back our peace: a half-built garden
              of theft, treasures hidden in darkness,
newspapers crumpled on subfloors telling us
              to hold fast to that which is good.
Garden of rebar and saplings with trunks
              encased in corrugated piping
because many animals can girdle
              a tree’s bark quickly:  deer, stray cats, rabbits.
Garden of Tyvek wrap loosed
              and flapping like a ship’s sail
in the gales, in the sheeting storms.
              Hanging laundry left out in the garden
past darkness, fruit from the tree
              of human-ness: socks, shirts, underpants.
Garden of long exposures, half-light, traces
              that empty themselves in tire treads running
like ladders through red clay mud:
              the dirt from which we are formed
and crushed and formed again."
The Heart Is a Foreign Country,"Ours is a partial language part pantomime,
part grimy guesswork: adulterated speculation
as to meaning & motivation.
Translated, heart suggests a familiar, universal
device but internal chemistries vary—
though components be the same & not uncommon.
The world owes us nothing. It promises less.
Call it: freedom. Free will. Or Wednesday."
One of 100,"To be one such one—for one night only.
To be singled out
for this brief distinction
and fly first class (on miles),
wear black tie, walk red carpet.
To be met with smiles
and camera-flash
and then be asked,
by a stringer,
“Who are you?”
“A poet? What’s it
like to be that?”
One only exists
when being photographed.
One fawns all over
the aged activist—
infirm but famous.
One hungers for
the elusive hors d’oeuvres.
One meets one:
an Oscar winner
who looks great—for 83.
His secret: carrot juice.
One finds
one has nothing
to say."
