Poem Name,Poem Link
Scar (audio only),https://poets.org/poem/scar-audio-only
Sequelae (audio only),https://poets.org/poem/sequelae-audio-only
Teacher (audio only),https://poets.org/poem/teacher-audio-only
The Old Days (audio only),https://poets.org/poem/old-days-audio-only
Power (audio only),https://poets.org/poem/power-audio-only
Touring (audio only),https://poets.org/poem/touring-audio-only
Black Mother Woman (audio only),https://poets.org/poem/black-mother-woman-audio-only
Blackstudies (audio only),https://poets.org/poem/blackstudies-audio-only
Chain (audio only),https://poets.org/poem/chain-audio-only
Meet (audio only),https://poets.org/poem/meet-audio-only
Harriet (audio only),https://poets.org/poem/harriet-audio-only
From The House Of Yemanjá (audio only),https://poets.org/poem/house-yemanja-audio-only
For Assata (audio only),https://poets.org/poem/assata-audio-only
From “Will There Be Singing”,https://poets.org/poem/will-there-be-singing
[excerpt from] Alt-Nature,https://poets.org/poem/excerpt-alt-nature
[My ancestors are empty words],https://poets.org/poem/my-ancestors-are-empty-words
[untitled],https://poets.org/poem/untitled-10
In the Year of Permutations,https://poets.org/poem/year-permutations
"Speaking of the future, Hamlet",https://poets.org/poem/speaking-future-hamlet
How will it feel months from now,https://poets.org/poem/how-will-it-feel-months-now
ars poetica,https://poets.org/poem/ars-poetica-7
Beauty That is Never Old,https://poets.org/poem/beauty-never-old
Silhouette,https://poets.org/poem/silhouette
Uncles,https://poets.org/poem/uncles
Monday Morning,https://poets.org/poem/monday-morning
Hello Beautiful,https://poets.org/poem/hello-beautiful
Dreams Are Illegal,https://poets.org/poem/dreams-are-illegal
For One Dead,https://poets.org/poem/one-dead-0
Hybrida: A Zuihitsu,https://poets.org/poem/hybrida-zuihitsu
Revolutionary Kiss,https://poets.org/poem/revolutionary-kiss
Color,https://poets.org/poem/color
I Rest My Case,https://poets.org/poem/i-rest-my-case
did-you-just-say-thang theory,https://poets.org/poem/did-you-just-say-thang-theory
All Souls Procession,https://poets.org/poem/all-souls-procession
I Was Called Back,https://poets.org/poem/i-was-called-back
Lines on Love’s (Loss*),https://poets.org/poem/lines-loves-loss
It's Too Late,https://poets.org/poem/its-too-late
Genetic Abduction,https://poets.org/poem/genetic-abduction
Lost and Found,https://poets.org/poem/lost-and-found-0
As for the Heart,https://poets.org/poem/heart-1
Waterfall Sound,https://poets.org/poem/waterfall-sound
Alfalfa Coming,https://poets.org/poem/alfalfa-coming
Communication,https://poets.org/poem/communication-0
Wind in the Grass,https://poets.org/poem/wind-grass
Driver Lost,https://poets.org/poem/driver-lost
Barricade,https://poets.org/poem/barricade
Immortal,https://poets.org/poem/immortal
River Snow,https://poets.org/poem/river-snow
Former Barn Lot,https://poets.org/poem/former-barn-lot
High Meadows,https://poets.org/poem/high-meadows
At Eleusis,https://poets.org/poem/eleusis
After Troy,https://poets.org/poem/after-troy
To the House,https://poets.org/poem/house-0
Salmon-Fishing,https://poets.org/poem/salmon-fishing
To his Father,https://poets.org/poem/his-father
Joy,https://poets.org/poem/joy
Give Your Daughters Difficult Names,https://poets.org/poem/give-your-daughters-difficult-names
Eve,https://poets.org/poem/eve
Wonder Woman,https://poets.org/poem/wonder-woman
Good Man,https://poets.org/poem/good-man
Love Game,https://poets.org/poem/love-game
Black Womxn Version II,https://poets.org/poem/black-womxn-version-ii
Notorious,https://poets.org/poem/notorious
The History of Silence,https://poets.org/poem/history-silence
[Magic needed],https://poets.org/poem/magic-needed
November,https://poets.org/poem/november-4
Female Rain,https://poets.org/poem/female-rain
Blue Impala,https://poets.org/poem/blue-impala
"The Electric Slide is Not a Dance, Man!",https://poets.org/poem/electric-slide-not-dance-man
Returning,https://poets.org/poem/returning
Twerk Villanelle,https://poets.org/poem/twerk-villanelle
My Table,https://poets.org/poem/my-table
My Descendants,https://poets.org/poem/my-descendants
How to Start Over,https://poets.org/poem/how-start-over
Holding the Light,https://poets.org/poem/holding-light
Francis Turner,https://poets.org/poem/francis-turner
William and Emily,https://poets.org/poem/william-and-emily
Louise Smith,https://poets.org/poem/louise-smith
Anointing,https://poets.org/poem/anointing
Our Date,https://poets.org/poem/our-date
Serepta Mason,https://poets.org/poem/serepta-mason
From “Río Grande~Bravo”,https://poets.org/poem/rio-grandebravo
Anti-Chlorinated Feminism,https://poets.org/poem/anti-chlorinated-feminism
The Story Nabakov Wrote about my Autistic Son,https://poets.org/poem/story-nabakov-wrote-about-my-autistic-son
At the Center for Autism Research,https://poets.org/poem/center-autism-research
Civil War,https://poets.org/poem/civil-war
"The water draft,",https://poets.org/poem/water-draft
"Things That Are Changed—March, 2020",https://poets.org/poem/things-are-changed-march-2020
"To a No. 2 Yellow Pencil on May 1, 2020",https://poets.org/poem/no-2-yellow-pencil-may-1-2020
Self,https://poets.org/poem/self
A History of Domestication,https://poets.org/poem/history-domestication
Crossing,https://poets.org/poem/crossing-0
"Asked for a Happy Memory of Her Father, She Recalls Wrigley Field",https://poets.org/poem/asked-happy-memory-her-father-she-recalls-wrigley-field
Because People Ask What My Daughter Will Think of My Poems When She’s Sixteen,https://poets.org/poem/because-people-ask-what-my-daughter-will-think-my-poems-when-shes-sixteen
Ars Poetica (Excerpt from “Telling the Gospel Truth”),https://poets.org/poem/ars-poetica-excerpt-telling-gospel-truth
The Gift,https://poets.org/poem/gift-5
First Warm Day in a College Town,https://poets.org/poem/first-warm-day-college-town
What I Think About When Someone Uses “Pussy” as a Synonym for “Weak”,https://poets.org/poem/what-i-think-about-when-someone-uses-pussy-synonym-weak
The Egyptian Tomb of Emily Dickinson,https://poets.org/poem/egyptian-tomb-emily-dickinson
Ode to Butter,https://poets.org/poem/ode-butter
Shelter in Place,https://poets.org/poem/shelter-place
Youngest Son,https://poets.org/poem/youngest-son
All Black Boys Look Alike,https://poets.org/poem/all-black-boys-look-alike
Stars,https://poets.org/poem/stars-2
Moving Men,https://poets.org/poem/moving-men
Renaissance Man,https://poets.org/poem/renaissance-man
Sisters Mourning,https://poets.org/poem/sisters-mourning
Wish List,https://poets.org/poem/wish-list
Mexican American Sublime,https://poets.org/poem/mexican-american-sublime
The Spectacle,https://poets.org/poem/spectacle
Reading 'Lives of the Animals' by Robert Wrigley,https://poets.org/poem/reading-lives-animals-robert-wrigley
Theories of Violence,https://poets.org/poem/theories-violence
What's Left,https://poets.org/poem/whats-left
Flower,https://poets.org/poem/flower-0
One Body,https://poets.org/poem/one-body
Global Warming,https://poets.org/poem/global-warming-0
Riverkeeper,https://poets.org/poem/riverkeeper
What Sadness Anywhere Is Sadness,https://poets.org/poem/what-sadness-anywhere-sadness
Ceremony of Sand,https://poets.org/poem/ceremony-sand
I Know Thou Art Free,https://poets.org/poem/i-know-thou-art-free
May to April,https://poets.org/poem/may-april
Overtures,https://poets.org/poem/overtures
Their Bodies a Xylophone,https://poets.org/poem/their-bodies-xylophone
"Prayer in the Strip Mall, Bangor, Maine",https://poets.org/poem/prayer-strip-mall-bangor-maine
"“All the time I pray to Buddha I keep on killing mosquitoes.""",https://poets.org/poem/all-time-i-pray-buddha-i-keep-killing-mosquitoes
Blood Moon,https://poets.org/poem/blood-moon
When the Virus Comes,https://poets.org/poem/when-virus-comes
Ghosting Aubade,https://poets.org/poem/ghosting-aubade
The Cows,https://poets.org/poem/cows
Lunar Eclipse,https://poets.org/poem/lunar-eclipse-1
Spell for the End of Grief,https://poets.org/poem/spell-end-grief
Heart Yearnings,https://poets.org/poem/heart-yearnings
