Poem Name,Poem Content
Celia,"Cherry, cherry, 
glowing on the hearth, 
bright red cherry...
When you try to pick up cherry 
Celia's shriek 
sticks in you like a pin.
                     : :
When God throws hailstones 
you cuddle in Celia's shawl 
and press your feet on her belly 
high up like a stool. 
When Celia makes umbrella of her hand. 
Rain falls through 
big pink spokes of her fingers. 
When wind blows Celia's gown up off her legs 
she runs under pillars of the bank—
great round pillars of the bank 
have on white stockings too.
                     : :
Celia says my father
will bring me a golden bowl.
When I think of my father
I cannot see him
for the big yellow bowl
like the moon with two handles
he carries in front of him.
                     : :
Grandpa, grandpa...
(Light all about you...
ginger...pouring out of green jars...)
You don't believe he has gone away and left his great coat...
so you pretend...you see his face up in the ceiling.
When you clap your hands and cry, grandpa, grandpa, grandpa,
Celia crosses herself.
                     : :
It isn't a dream...
It comes again and again...
You hear ivy crying on steeples 
the flames haven't caught yet 
and images screaming 
when they see red light on the lilies 
on the stained glass window of St. Joseph. 
The girl with the black eyes holds you tight, 
and you run...and run 
past the wild, wild towers...
and trees in the gardens tugging at their feet 
and little frightened dolls 
shut up in the shops 
crying...and crying...because no one stops...
you spin like a penny thrown out in the street. 
Then the man clutches her by the hair...
He always clutches her by the hair...
His eyes stick out like spears. 
You see her pulled-back face 
and her black, black eyes 
lit up by the glare...
Then everything goes out. 
Please God, don't let me dream any more 
of the girl with the black, black eyes.
                     : :
Celia's shadow rocks and rocks...
and mama's eyes stare out of the pillow
as though she had gone away 
and the night had come in her place 
as it comes in empty rooms...
you can't bear it—
the night threshing about 
and lashing its tail on its sides 
as bold as a wolf that isn't afraid—and you scream at her face, that is white as a stone on a grave 
and pull it around to the light, 
till the night draws backward...the night that walks alone 
and goes away without end. 
Mama says, I am cold, Betty, and shivers. 
Celia tucks the quilt about her feet, 
but I run for my little red cloak 
because red is hot like fire.
                     : :
I wish Celia
could see the sea climb up on the sky
and slide off again...
...Celia saying
I'd beg the world with you...
Celia...holding on to the cab...
hands wrenched away...
wind in the masts...like Celia crying...
Celia never minded if you slapped her
when the comb made your hairs ache,
but though you rub your cheek against mama's hand
she has not said darling since...
Now I will slap her again...
I will bite her hand till it bleeds.

It is cool by the port hole.
The wet rags of the wind
flap in your face."
The Witch,"I have walked a great while over the snow,
And I am not tall nor strong.
My clothes are wet, and my teeth are set,
And the way was hard and long.
I have wandered over the fruitful earth,
But I never came here before.
Oh, lift me over the threshold, and let me in at the door!

The cutting wind is a cruel foe.
I dare not stand in the blast.
My hands are stone, and my voice a groan,
And the worst of death is past.
I am but a little maiden still,
My little white feet are sore.
Oh, lift me over the threshold, and let me in at the door!

Her voice was the voice that women have,
Who plead for their heart's desire.
She came—she came—and the quivering flame
Sunk and died in the fire.
It never was lit again on my hearth
Since I hurried across the floor,
To lift her over the threshold, and let her in at the door."
Eadwacer,"To my people it's as though he gave them a sacrifice:
They will destroy him if he comes among them.
   It is otherwise with us.

Wulf is on one island, I on another.
A fastness is that island, rung round with fens.
Fierce men are there on the island.
They will destroy him if he comes among them.
   It is otherwise with us.

I thought of my Wulf's far wanderings
when it was rainy weather and I sat weeping
when the war-chief caught me in his arms—
it was joy then, yet it was also hateful.

Wulf, my Wulf! Waiting for you
has made me ill, your seldom coming,
this sorrowing mood—not lack of meat.

Do you hear, Eadwacer? Our poor whelp
a wolf bears off to the wood.

How easy for man to break what never was bound—
   our song together."
A Memory Of the Players In a Mirror at Midnight,"They mouth love’s language. Gnash
The thirteen teeth
Your lean jaws grin with. Lash
Your itch and quailing, nude greed of the flesh.
Love’s breath in you is stale, worded or sung,
As sour as cat’s breath,
Harsh of tongue.
This grey that stares
Lies not, stark skin and bone.
Leave greasy lips their kissing. None
Will choose her what you see to mouth upon.
Dire hunger holds his hour.
Pluck forth your heart, saltblood, a fruit of tears:
Pluck and devour!"
Human Atlas,"Because the body really 
is Mars, is Earth or Venus or the saddest downsized
Pluto, can be booked, bound, mapped then.
Or rendered like something off the bone, fat just under 
the animal skin, to lard, 
cheaper, quicker than butter, like stillness
belies restlessness, like every yes
was or will be not, never, no,
                                          none of that.
A full section in such a book
keeps the skeleton quiet. (So untroubled to be specific, to say 
femur, rib, half-minute of splendor, 
to stare like that
stops time...) Or slick pages and pages given over
to slow the blood, remake muscle, to un-secret 
that most mysterious lymph, its arsenal 
of glands under the arm, at groin, at neck, awful
ghost lightning in it.  Inscrutable.
                                                    Complete: because
the whole body ends, remember?  
But each ending
goes on and on. Complete: because some 
minor genius with a pencil, with ink, with drastic color
makes that arm you've  known for years
raw, inside out, near wanton run of red vessel and nerve, 
once a sin to look, weirdly now,
what should be hidden. Oh, it's garish 
                                                       equals austere.
Compute. Does not compute. Tell me.  
Then tell me who that 
me is, or the 
you understood, the any of us, our precious 
everything we ever, layer upon 
bright layer."
Parole Hearing,"After Mahmoud Darwish
And they searched her voice, heard the lurch of a bus into the deep muck of a field.

And they searched the bus, saw the guts of its vinyl seats.

And they searched the guts, smelled the steel springs rusting.

And they searched the rust, tasted nothing but the tips of their thumbs.

And touching their thumbs to their lips they said well in another three years."
Instead of Losing,"Anyone, growing up in a space you hadn't used yet
would've done the same: bother the family's bickering
to head straight into the channel. My, those times
crackled near about us, from sickly melodrama
instead of losing, and the odd confusion...confusion.

I thought of it then, and in the mountains.
During the day we perforated the eponymous city limits
and then some. No one knew all about us
but some knew plenty. It was time to leave that town
for an empty drawer
into which they sailed. Some of the eleven thousand
virgins were getting queasy. I say, stop the ship!
No can do. Here come the bald arbiters
with their eyes on chains, just so, like glasses.
Heck, it's only a muskrat
that's seen better years, when things were medieval
and gold...

So you people in the front,
leave. You see them. And you understand it all.
It doesn't end, night's sorcery notwithstanding.
Would you have preferred to be a grownup in earlier times
than the child can contain or imagine?
Or is right now the answer—you know, the radio
we heard news on late at night,
our checkered fortunes so pretty.
Here's your ton of plumes, and your Red Seal Records.
The whole embrace."
Whose Story of Us We Is Told Is Us,"Brother is we is each of us we ghosts

Brother of white folks we

don’t never known us brother we

Because we never doesn’t fits

Nowhere we brother

doesn’t fits in bodies



Our bodies we is always walking leaking

like a ghost can’t be a body in one place

But every eyes     / Catches and pulls at it

Like every eyes in any

white folks is another

Hole in our bodies



Brother     / Is we is never known them close

Up close     whose ghosts we brother leaking is

Whose story of us we is told is us     is water in a fist

Brother we not the fist

we not the water

we the thirst"
The Decorative Airport Fern Is Not What It Pretends to Be,"and it takes me a triple-take to realize it's scanning
me, or something near my ear—that must be it. No plant’s 
ever complimented my perfume—wait—there it goes 
again. Did you see that? [Time passes, drinks] ""Sure, I 
remember when I thought you were a fern but you were!
Who could blame me?"" I tell the what’s now a magnificent
purple tetrahedron, eggplant-sized cilia straining at its corners, just 
a hint of ferniness remains in its fingertips—enough to blush. 
We hug goodbye. The scent of flowers lingers around me 
the next day. Flying home, a decorative airport fern that really 
is a decorative airport fern says, ""You smell nice."" I don’t 
believe it, but it's still a happy
ending."
"After Bombardment, Sonya","I scrub and lather him like a salmon
until he spits 
soapy water. ""Pig"" I smile—

This man smells better than his country
I throw his shoes 
and glasses in the air,

take off his t-shirt and socks, and kneel 
in honor of Sasha Petrov 
who was amputated, in honor of Lesha Vatkii the taken.

I dip a glass in a bath-tub,
drink dirty water.
Soaping together—that 

is sacred to me. Washing mouths together. 
You can fuck 
anyone—but with whom can you sit in water?

And the cuddling up
before sleep!—and back-scratching
in the morning. My back, not yours!

I knew I had caught the fish            
and he knew he had been caught. 
He sings as I dry his chest & penis

""Sonya, I was a glad man with you—"""
