Poem Name,Poem Content
The Three Birds of the Milky Way,"On the cusp of winter, under the pollution
of a hunter’s moon, I see, for once, no bird,
but a cross; no wing but a brace to bear
what must be borne. Here: the queen on her throne,
the Summer Triangle, the wingtips
of the great swan charted in the sky.
The guide says there are three great birds of the Milky
Way, the Pathway of the Birds. I make note,
try to imagine what I might fashion
in the cold night, in this place I didn’t ask to inhabit.
How did I end up here? What wind blew me
off course, took me from heart and home? My
body falters, loses feather and beak
and bone, turns to dust or ice or stone."
"Self-Portrait as a Body, a Sea","I am a body schooling,
a ball of fish, flashing
and many, in these early days
of feeling, of love.
When I learned,
hours ago, of fish songs
that swell like birdsong
in the morning,
how they foghorn or buzz
for food, or mates
or space, I thought,
now aren’t I a humming thing?
Yes, you say,
a body of oceans
and marvelous.
And the sea anemone in me,
              growing on the wreckage
of an old ship—
              can they grow that way,
              I wonder, on an ending—
                          Still this bright and tentacled
anthozoan polyp,
              which reaches and filters
                                                            whatever it needs
                          from this strong current,
              and the current too that carries
                                                            the sea cucumbers,
              the rough mammals,
                          the life, both vertebrate
                                                            and invertebrate,
even the batfish,
                          the black jewfish,
              and the terapontid,
it all swells and breaks in me
like a chorus at dusk."
Brood,"My chest is earth

I meant to write my chest is warm
but earth will do
                                      to exhume a heart
      Beat
I meant to write
breathe
                        Did you know I was alive the whole time
I was alive in the ground but torpor
                    But torpor
Slowed beat
My chest filled like a jar with dirt
I mean
      dearth
For slow months at rest in the hole
I’d made in myself
                    A frozen ground
      A ground in thaw
I mean
                    Spring is coming
I mean
                I push the wet dirt with my mandible
I mean jaw
          Jaw
                    Y’all
I know I am not a nymph in exhumation
    but would you please explain
              this half-remembered light"
Changing Is Not Vanishing,"Who says the Indian race is vanishing?
The Indians will not vanish.
The feathers, paint and moccasin will vanish, but the Indians,—never!
Just as long as there is a drop of human blood in America, the Indians will not
       vanish.
His spirit is everywhere; the American Indian will not vanish.
He has changed externally but he has not vanished.
He is an industrial and commercial man, competing with the world; he has not
       vanished.
Wherever you see an Indian upholding the standard of his race, there you see
       the Indian man—he has not vanished.
The man part of the Indian is here, there and everywhere.
The Indian race vanishing? No, never! The race will live on and prosper forever."
The Lost Lagoon,"It is dusk on the Lost Lagoon,
And we two dreaming the dusk away,
Beneath the drift of a twilight grey—
Beneath the drowse of an ending day
And the curve of a golden moon.
It is dark on the Lost Lagoon,
And gone are the depths of haunting blue,
The grouping gulls, and the old canoe,
The singing firs, and the dusk and—you,
And gone is the golden moon.
O lure of the Lost Lagoon—
I dream to-night that my paddle blurs
The purple shade where the seaweed stirs—
I hear the call of the singing firs
In the hush of the golden moon."
The White-headed Woodpecker,"Quiet. Given to prying more than pecking, an odd member
of the family, lives only in the high pine forests of western
mountains like the Cascades, where I spent an afternoon
almost a decade ago in Roslyn, Washington looking for what
I could find of Black people who’d migrated from the South
almost a century and a quarter prior. The white-headed
woodpecker doesn’t migrate and so is found in its
home range year-round when it can be found. Roslyn,
founded as a coal mining town, drew miners from all over
Europe—as far away as Croatia—across the ocean, with
opportunities. With their hammering and drilling to extract
a living, woodpeckers could be considered arboreal miners.
A habitat, a home range, is where one can feed and house
oneself—meet the requirements of life—and propagate.
In 1888, those miners from many lands all in Roslyn came
together to go on strike against the mine management.
And so, from Southern states, a few hundred Black miners
were recruited with the promise of opportunities in Roslyn,
many with their families in tow, to break the strike. They
faced resentment and armed resistance, left in the dark
until their arrival, unwitting scabs—that healing that happens
after lacerations or abrasions. Things settled down as they do
sometimes, and eventually Blacks and whites entered a union
as equals. Black save for a white face and crown and a sliver
of white on its wings that flares to a crescent when they
spread for flight, the white-headed woodpecker is a study
in contrasts. Males have a patch of red feathers
on the back of their crowns, and I can’t help but see blood."
In the Discount Lot,"Outside the grocery store
laden with the sweat
of tanned field workers
we stand          little girls in winter coats
our hands hold signs leaflets
our dark long hair waist length
one straight, one curly
we say to the people
who walk up to the glass door
don’t buy the lettuce here—
they aren’t good to their workers
I don’t recall anyone
said anything back
or who stood with us
I remember my sister
next to me,      us
in our Sunday velvet best
she     beret and red plaid jacket
me     white rabbit skin muff
little brown girls with picket signs
rosy cheeks, big black eyes
legions of ghosts
above              behind
angels wing over us
ancestor feathers beat
in the invisible breeze
each time someone enters
or exits the building—
with a bag
full of groceries
oranges and eggs
celery and grapes."
Gun Control,"The gun—purchased legally
by our parents when I was ten,
shown to us, placed in our hands
that we might sense the weight, then placed
on a shelf any of us
could reach, though we did not, not yet—
pulled by our mother six years
later as I straddled her son’s
small body to stop his fists
from battering me—our mother,
misreading the scene, seeing
her youngest in danger, and me,
too large in her mind to be
handled any other way— our
mother holding the gun and
shaking the gun and crying, caught
in an act of betrayal,
not yet angry that I would run,
sock clad, to Sam’s Pitt Stop Fried
Chicken and Fish to tell Sam Pitt,
my boss from the last summer
to tell him with incredulity—
no, with something more naïve,
say, shock or hurt, that my mother
had just pulled a gun on me,
the good child, the obedient
child, and she, later, saying
she had no other choice
she had to save her boy,
the malt liquor on her breath,
the blue bull in her blood, remorse,
perhaps, in her voice as she
asked, without asking, for forgiveness,
the gun returned to the shelf."
Offering,"            after Mary Oliver
Here is the meat
and fat and bone
of the day. The smoke
too for the god of recognition.
A love offering,
where love is also
grief and mourning,
the business of waking
and moving in a body far
away from you,
sweet friend.
Where waking
and moving mean
crying or not crying,
but always breathing.
Mark how the light
bends through the dry
air, like breath,
at the end of the day.
Mark the chirbling of the bird
outside my window.
Mark the day we will see
one another again,
and what light there will be,
what song."
Río Chamita,"Mule deer browse in the meadow
                           and meander in clusters down the slope 
                                         across a dry pond bed;
at a shooting range, we stare at a machine 
               loaded with orange-centered circular targets
                                          but are not here to practice firing at ducks;
you climb a metal ladder, sit 
             on a bench high in a ponderosa pine, 
                          and, gazing far, say hunters shoot from here;
we step onto a floating dock, while swallows 
                           scissor the air, loop back, 
                                        fuchsia-streaked clouds undulate on the water;
and when we canoed around a floating island of reeds,
              I understood we came here  
                                          to ignite behind our eyelids—
a yellow-headed blackbird perches on a cattail;
                                         beyond a green metal fence, buffalo graze—
while water runs into this pond, before it spills 
                             over a metal gate into the Río Chamita,
                                                                 we gather our lives in this pooling—"
Jaguar Song,"—Just after you sign and envision building homes on this tract you smell me in the dark
know that I move through this terrain at night   though you only think of building 
and selling   even now you believe you can borrow my spirit by wearing a mask of my
face on your face   look at me   delve into your fears   is your deepest fear to be hacked 
strangled or be strapped to an IV in a bed with no chance to die   I can grasp a turtle 
and break its shell with one bite   I can pounce on a deer and crush its skull and neck 
with my teeth   you slash and burn in the jungle   force the snakes and macaws to retreat 
you even burn your own species alive   look into my eyes  I am your mirror and
transformer if you destroy my species I will shape-shift and hunt you in your dreams   
the fingerprints of your hands resemble the black rosettes on my skin and you will not
escape   you will never comprehend the twin nights in my eyes   remember as a child 
you came up the steps from the basement and flicking off the light at the top of the stairs
feared a hand about to grasp your shoulder from behind   that fear is alive   and now 
as you rummage for keys at your apartment doorstep I am a passing jogger about to
pounce I am the creature who smells your darkest thoughts   and as you turn the key 
in the lock day or night out of the darkness I spring—"
Scintillant,"Trudging uphill, I turn onto a deer path
then follow the switchbacks you marked
with orange streamers until I arrive
at a cairn and overlook where I view
the gold run of cottonwoods through the city;
western tanagers migrate through the city.
As I bask in the heat of the afternoon,
I cannot say I had the courage
to march on a bridge for the right
to vote and be beaten; at an antiwar rally,
I retreated when police, mounted on horses,
crossed the street with batons swinging.
As I stride down the switchbacks, I can’t
put into words the radiance of this day;
I stop at a robin’s nest lined with mud
fallen in the grass and scintillate
when at night we step into the yard
and stare up through apple branches at stars."
Acequia del Llano,"1
The word acequia is derived from the Arabic as-saqiya (water conduit)and refers to an
irrigation ditch that transports water from a river to farms and fields, as well as the
association of members connected to it.
                                                            Blossoming peach trees—
                                                            to the west, steel buildings glint 
                                                            above the mesa.                                                         
In Santa Fe, New Mexico, the Acequia del Llano is one and a half miles long and begins
at Nichols Reservoir dam. At the bottom of the dam, an outlet structure and flow meter
control water that runs through a four-inch pipe at up to one hundred-fifty gallons per
minute. The water runs along a hillside and eventually drops into the Santa Fe River.
Fifteen families and two organizations belong to this ditch association, and the acequia
irrigates about thirty acres of gardens and orchards.
                                                            In the ditch, water flowing—
                                                            now an eagle-feather wind.
2
Yarrow, rabbitbrush, claret cup cactus, one-seed juniper, Douglas fir, and scarlet
penstemon are some of the plants in this environment. Endangered and threatened species
include the southwestern willow flycatcher, the least tern, the violet-crowned
hummingbird, the American marten, and the white-tailed ptarmigan. 
                                                            Turning my flashlight 
                                                            behind me, I see a large 
                                                            buck, three feet away.
Each April, all of the members come, or hire workers who come, to do the annual spring
cleaning; this involves walking the length of the ditch, using shovels and clippers to clear
branches, silt, and other debris.
                                                            Twigs, pine needles, plastic bags
                                                            cleared today before moonrise—                  
3
The ditch association is organized with a mayordomo, ditch manager, who oversees the
distribution of water according to each parciante’s (holder of water rights) allotment. The
acequia runs at a higher elevation than all of the land held by the parciantes, so the flow of
water is gravity fed. 
                                                            Crisscrossing the ditch,
                                                            avoiding cholla,
                                                            I snag my hair on branches.
Each year the irrigation season runs from about April 15 to October 15. On Thursdays
and Sundays, at 5:30 a.m., I get up and walk about a quarter of a mile uphill to the ditch
and drop a metal gate into it. When the water level rises, water goes through screens 
then down two pipes and runs below to irrigate grass, lilacs, trees, and an orchard. 
                                                            Across the valley, ten lights
                                                             glimmer from hillside houses.
4
Orion and other constellations of stars stand out at that hour. As it moves toward summer,
the constellations shift, and, by July 1, when I walk uphill, I walk in early daylight. By
mid-September, I again go uphill in the dark and listen for coyote and deer in between the
piñons and junipers. 
                                                            One by one, we light
                                                            candles on leaves, let them go
                                                            flickering downstream.
The Ganges River is 1,569 miles long. The Rio Grande is l,896 miles long; it periodically
dries up, but when it runs its full length, it runs from its headwaters in the mountains of
southern Colorado into the Gulf of Mexico. Water from the Santa Fe River runs into the
Rio Grande. Water from the Acequia del Llano runs into the Santa Fe River. From a
length of one hundred paces along the acequia, I draw our allotment of water.
                                                            Here, I pull a translucent 
                                                            cactus spine out of your hand."
Sight Lines,"I’m walking in sight of the Río Nambe—
salt cedar rises through silt in an irrigation ditch—
the snowpack in the Sangre de Cristos has already dwindled before spring—
at least no fires erupt in the conifers above Los Alamos—
the plutonium waste has been hauled to an underground site—
a man who built plutonium-triggers breeds horses now—
no one could anticipate this distance from Monticello—
Jefferson despised newspapers, but no one thing takes us out of ourselves—
during the Cultural Revolution, a boy saw his mother shot in front of a firing squad—
a woman detonates when a spam text triggers bombs strapped to her body—
when I come to an upright circular steel lid, I step out of the ditch—
I step out of the ditch but step deeper into myself—
I arrive at a space that no longer needs autumn or spring—
I find ginseng where there is no ginseng my talisman of desire—
though you are visiting Paris, you are here at my fingertips—
though I step back into the ditch, no whitening cloud dispels this world’s mystery—
the ditch ran before the year of the Louisiana Purchase—
I’m walking on silt, glimpsing horses in the field—
fielding the shapes of our bodies in white sand—
though parallel lines touch in the infinite, the infinite is here—"
Artless,"is my heart. A stranger
berry there never was,
tartless.
Gone sour in the sun,
in the sunroom or moonroof,
ruthless.
No poetry.  Plain.  No 
fresh, special recipe
to bless.
All I've ever made 
with these hands 
and life, less
substance, more rind. 
Mostly rim and trim,
meatless
but making much smoke
in the old smokehouse,
no less. 
Fatted from the day, 
overripe and even
toxic at eve.  Nonetheless,
in the end, if you must 
know, if I must bend,
waistless,
to that excruciation.  
No marvel, no harvest
left me speechless,
yet I find myself
somehow with heart,
aloneless.
With heart,
fighting fire with fire,
flightless.
That loud hub of us, 
meat stub of us, beating us
senseless.
Spectacular in its way,
its way of not seeing, 
congealing dayless
but in everydayness.
In that hopeful haunting,
(a lesser
way of saying
in darkness) there is
silencelessness
for the pressing question. 
Heart, what art you? 
War, star, part? Or less: 
playing a part, staying apart
from the one who loves,
loveless."
