Poem Name,Poem Content
After,"I will not walk in the wood to-night,
I will not stand by the water’s edge
And see day lie on the dusk’s bright ledge
Until it turn, a star at its breast,
To rest.
I will not see the wide-flung hills
Closing darkly about my grief,
I wore a crown of their lightest leaf,
But now they press like a cold, blue ring,
Imprisoning.
I dare not meet that caroling blade,
Jauntily drawn in the sunset pine,
Stabbing me with its thrust divine,
Knowing my naked, aching need,
Till I bleed.
Sheathe your song, invincible bird,
Strike not at me with that flashing note,
Have pity, have pity, persistent throat,
Deliver me not to your dread delight
To-night!
I am afraid of the creeping wood,
I am afraid of the furtive trees,
Hiding behind them, memories,
Ready to spring, to clutch, to tear,
Wait for me there."
Cardiology,"When we first met, my heart pounded. They said
the shock of it was probably what broke
his heart. In search of peace, we traveled once
to Finland, tasted reindeer heart. It seemed
so heartless, how you wanted it to end.
I noticed on the nurse who took his pulse
a heart tattooed above her collarbone.
The kids played hearts all night to pass the time.
You said that at its heart rejection was
impossible to understand. “We send
our heartfelt sympathy,” was written in
the card your mother sent, in flowing script.
I tried interpreting his EKG,
which looked like knife wounds to the heart. I knew
enough to guess he wouldn’t last much longer.
As if we’d learned our lines by heart, you said,
“I can’t explain.” “Please don’t,” was my reply.
They say the heart is just a muscle. Or
the heart is where the human soul resides.
I saw myself in you; you looked so much
like him. You didn’t have the heart to say
you didn’t want me anymore. I still
can see that plastic statue: Jesus Christ,
his sacred heart aflame, held out in his
own hands. He finally let go. How grief
this great is borne, not felt. Borne in the heart."
Robber Sentenced to Reflection,"We bank sneaks do it for the back-
jumping buzz and for the poetry
of course, iamb after iamb of ka-
klink in our birdcage coffers.
The beard-jammer (that shitty
shirtrabbit) dropped from the eaves
after a whole lot of listening and squashed
my swagger in seconds. So here I am
on yonder Ponder Island, forced to
forgo the fizz powder that used to give me
the good go-ahead, count my every blink
and contemplate. It’s always claws
for breakfast, then around eye-flicker
five thousand he comes in to cat-cuff
me, to drone on about the bone orchard
or the Burlap Sisters (buzz-nappers all three)
who never went free. They didn’t do
dialogue. They were islands of their own.
Each midnight (thrice daily) I scan
the skies for wormholes, which I know
is flimsy whimsy, as if I’ll swoon through
space into a dimension where
there are cackle-tubs full of jokes
and tenth chances. Still, I keep
the old big-eye open. When I can
I prowl the caper-cove hooting help!
My sentence: twelve years of mirror
manufacture. Not even one lousy weak-
ankled gerund. There’s no magic in mirrors
but in verbs, hey-brim- ho yes. I narrate
my movements to myself with as many
as possible—I grind, polish, whistle,
wish, but I worry I’m losing the lingo.
I never look at my show-me in the glass—
it fazzles me. Instead I count what I’ve sent
down the wormholes in the past:
one year of daily weather diagrams
and owl-falls, an exquisite equation for
unlocking a safe. I think there are
other worlds out there and perhaps
in a quicksquint I’ll catch a glimpse of
my double (Little-Go- Cheat or Lizzy-Loll-
Tongue I call her). Worst: We’re handcuff-
Married. Best: Thanks to me her nimbles
unlatch a door and cull-money silvers
into her lap. She imagines my sky.
Sends me hers."
Duet,"Night time is the right time . . .
—Ray Charles and Margie Hendricks
She had me in the car. I came forward like a song.
We did it before temple, after temple, between prayers.
The windows echoed her mantras, our cries warmed the air.
Two peaks merged, then sank below the clouds.

We did it before temple, after temple, between prayers.
Her stomach began to show and people asked us not to come.
Two peaks merged, then sank below the clouds.
Night and day, everything was changing.

. . . . .

Her stomach began to show and people asked her not to come.
My mother was all alone when I was born.
Night and day. Everything was changing.
The radio started playing rhythm and blues.

My mother was all alone when I was born—
The windows echoed her mantras, our cries warmed the air,
The radio started playing rhythm and blues.
She had me in a car. I came forward like a song."
The Sleeping Husband,"This massive apartment: a whole room left
Empty to air, where we used to sleep.
So many steps on the waxed wood, like off turns
On the dial of a lock whose combination one’s lost—
All decaying about me like empire,
The moldings moldering while I sit frozen
As a swan on the surface of a lake changing to ice.
Fruit flies and mosquitoes, a water bug,
Carpet beetles, the mouse found behind the couch
Months after it’d shrunk to a puff of fur:
Nothing to eat here but beer and more dark.
The shower where someone’s young wife died
In an explosion of epilepsy while he slept.
One wonders what he was dreaming then.
The same dreams we once made here, maybe."
Roses Only,"You do not seem to realise that beauty is a liability rather than
   an asset—that in view of the fact that spirit creates form we are justified in supposing
     that you must have brains. For you, a symbol of the unit, stiff and sharp,
   conscious of surpassing by dint of native superiority and liking for everything
self-dependent, anything an
ambitious civilisation might produce: for you, unaided to attempt through sheer
   reserve, to confute presumptions resulting from observation, is idle. You cannot make us
     think you a delightful happen-so. But rose, if you are brilliant, it
   is not because your petals are the without-which-nothing of pre-eminence. You would look, minus
thorns—like a what-is-this, a mere
peculiarity. They are not proof against a worm, the elements, or mildew
   but what about the predatory hand? What is brilliance without co-ordination? Guarding the
     infinitesimal pieces of your mind, compelling audience to
   the remark that it is better to be forgotten than to be remembered too violently,
your thorns are the best part of you."
Survival Guide,"No matter how old you are,
it helps to be young
when you’re coming to life,
to be unfinished, a mysterious statement,
a journey from star to star.
So break out a box of Crayolas
and draw your family
looking uncomfortably away
from the you you’ve exchanged
for the mannequin
they named. You should
help clean up, but you’re so busy being afraid
to love or not
you're missing the fun of clothing yourself
in the embarrassment of life.
Frost your lids with midnight;
lid your heart with frost;
rub them all over, the hormones that regulate
the production of love
from karmic garbage dumps.
Turn yourself into
the real you
you can only discover
by being other.
Voila! You’re free.
Learn to love the awkward silence
you are going to be."
Flourishing,"My therapist says I’m afraid of vanishing.
Last week his ceiling caved in, ending our session
in a shower of words and water.
I’m serious. I’m always serious
when I talk about therapists and cave-ins.
This morning I’m serious in a train
sliding past a clock-tower constructed
when this city thought it was flourishing. Flourishing
is a form of vanishing, a verb embedded in what comes after.
Once there was a city that flourished, its spires confident and secure
as my therapist’s ceiling. Once there was a train
that pulled out of a once-flourishing city.
One morning I was on that train, speeding between woods and river,
through a village of wooden houses and plots in a cemetery,
moving on, vanishing
too fast to become part of local history.
Vanishing was fun, like a sky skydiving.
I was the sky into which I dove.
I brooded above the little wooden town
and postage-stamp cemetery.
Time said, “Welcome to the fountain.”
History said, “You’re already forgotten.”
Wind-scalloped river, algae-covered pond, fronds of goldenrod,
a patch of reeds and then a factory parking lot, cars and men
moving slowly, lit by Sunday morning.
The train slowed to a stop, waiting to claim the single track ahead.
I will tell my therapist, when we meet again
beneath his brand-new ceiling,
“Once I was sitting on a train,
stopped dead and already gone.
Happy. Flourishing.’”"
Disease’s Gifts,"For Peggy Munson
That you must accept
what you cannot prevent.  That fear inverts
the meaning of success.  That you can be fearless
when fear is all you have.
That fear is all you have.
That you aren’t alone in loneliness,
there’s a whole world here,
a pregnant, fascinating glimpse,
all stomach and hips,
of the life-creating love
you’re finally sick enough to feel.
That that glimpse can't stop you from melting
into the futures you fear
you will and will not have.
That you have, you still have,
everything you need to live:
night, ice, plums, a lap and a laptop, a name, a parent,
whipped cream, gossip, steaming plates
of life and death. 
That this is the end of the world.
That you will survive it."
Between Wars,"You’ve lost your soul again. Go back
to the window. Note the crocus
defying expectations
in the bed your mother hunkers over,
missing you, in her fashion,
now that you’re always there.
Why don’t you wear your uniform, she asks.
Will you ever get out of bed,
running her hand through your uncombed curls,
sweating eau de toilette
that forces you both to remember
the hollows she cannot scent.
Several soldiers’ buttons
glitter in her trowel, a spectacular find
that conjures and erases
the sad, stained trench
in which their bodies vanished.
Your mother gives a cry of surprise.
The child she bore
bears you no resemblance; only
this habit of losing your soul
suggests yours is the head
she brushed, in a perfumed cloud,
straightening what wasn’t tangled,
as something rolled across the floor,
where she would never find it. 
Many surrenders later,
what glittered and rolled
perforated by equidistant holes
while you froze in her haze of fragrance
has surfaced among the spears of crocus,
as though the boys who burst their buttons
jabbing dummies with bayonets
had risen from their graves,
untangled, untarnished,
ready to forgive."
The Leopard,"            for Yael
You are reporting on the leopard. You are only seven
and you already know the leopard
comes in greys as well as yellows.
The leopard’s children
tumble in the shadow of a rock.
Gazelle bolt in the distance.
Reporting on the leopard
turns life and death
into simple declarative sentences.
The gazelle ignores the leopard
until the leopard snaps its neck.
In your kitchen love and hate
shadow each other
the way you are shadowed
by the birthday that tiptoes closer.
You are only seven and you already know
you are the prey
of the love you cannot escape. Love
flings its kill over branches
in the jungle
that is your kitchen.
You are only seven and you already know
its spots will make love hard to see
until it snaps your neck."
9th and 2nd,"            October 24, 2006
I’m alive you say
to no one in particular.
You are no one in particular.
That’s a good thing. The street is filled with souls
nested in good-looking bodies
that aren’t looking
in your direction. Someone is singing,
someone’s holding hands
with someone who is embarrassed by affection,
men and women made of light
drink in light
made of men and women.
They are alive you say,
meaning no one in particular.
One of them is singing, one is selling flowers,
one is so thin
you can almost see through her. One is looking
in your direction.
I’m alive you say, a little embarrassed
to be no one in particular, a soul
nested in a body
of men and women.
Someone is singing, someone is drinking
tea that is sweet and bitter.
It’s a good thing you say,
drinking in the light
of men and women,
men and women made of light, nested
in the sweet and bitter. A soul
is singing in your direction, so alive
you can almost see her."
A Modest Proposal,"Let's not kill or die today.
Let's make angels out of yarn, men of snow, mashed potato animals
that smile as we spoon
their eyes of melted butter.
Instead of killing ourselves or one another,
let's neatly stack anxiety's sweaters
and scratch our itchy trigger fingers
by whittling turtles for our mothers,
or pretending to understand Heidegger,
or imagining the sexual embrace
through which time and space
first conceived of matter.
If we still aren't over killing and dying,
we can search the stacks for library books
that haven't circulated in generations
and savor the mold
that spores their spines
the way wine snobs savor the nose
of vintage wines bottled
between wars to end all wars.
Look, we've played all day
and haven't spilled a drop of blood
apart from the occasional paper cut.
In an hour or two, when it's very dark,
let's make up stories out of stars,
and fill them with all the killing and dying
we didn't do today, except in our imaginations.
Let's pull our comforters over our heads
and sing ourselves to sleep
like good little civilizations."
Winter in the Rockies,"Is this heaven? Hidden
highways. An avalanche. Nothing
around for miles to hear tires
leave the road. The mountains
bow, back-lit by white skies. I walk
& wonder if I walk for any reason
except to walk. My father,
drenched in drifting snow, was left
here. Yet I can’t say I’m closer
to the truth about loss than I was
as a child when the world I saw
was a world that doesn’t ache
to be anything else. It’s funny
how easy it is to forget
the sound of water in winter. I lay down
on the banks alongside the frozen
lake. Its long body, still. But
I’m listening now, as water
like a sleeping child wrestles
with the blankets pulled over
its face, waiting to see
which one of us will wake."
Snow Fugue,"A mournful voice sings to quick beats
in my head, but I know nothing of heaven. In a frenzy
of whirling wind, headlights on a white wall, I pull
over the truck. Late April & the sky has broken
its neck. I swear I see faces pass the windshield. The howl
of voices I’ve forgotten in the cracks of the doors. Whistling
through windows. I close my eyes & count
their bones. Wonder if this is the dream where children are
buried. Why each move towards home takes me
further away. The cab rocks & creaks. When I open
my eyes, every tree is erased, Every stone & bird & gravel
road. Stepping outside, I lean into snow, wanting
to be lost again. To know that kind of violence. How cold needles
the insides of my nostrils. My mother, in a ragged babushka,
bent over Rohatyn’s fields. How I began in a place I can’t find
with my hands. Now, how not to welcome the snow’s blades,
a torn blood vessel, the fire in my fists. How when wings plume
on cold a spring morning, I am blinded instead.
But, I whisper even though there is no one
to hear. Even as I wonder who’s talking, —who I hold
so tightly inside. Like a hummingbird, before
it flies out of my throat & falls
to the ground. Before I palm its heart
& find it still beating."
"In the Third Trimester, They Can’t Find a Heartbeat","It is the waiting that hurts. The long weeks
            of wanting. Hospice of memory & malice.
I petition the future for more days
            without rain. For days without the cries
of blackbirds overhead. They sense
            death. They know what we do not.
Any minute, the minutes will lengthen
            into a lifetime of forgetting. The oaks lean
into the wind. The river writhes by. The faith-
            less sky breaks itself over us. Once
there was a sacrifice for sin. And it was a bull
            like this one. A first born. I hear the cicadas,
loud in their fury. The dreams of daughters
            that I can’t displace. & I am the pilgrim,
traveling with fever. I am December, cold
            in the ground. I want the daughter to emerge
like a white horse in a clearing. To tell me
            the story of surrender. But she will die
one more time inside me. One more time,
            not a girl, but a dream. An incantation.
A command. Is my body heaven or Eden
            or the opposite of god? Some dreams are meant
to come true. At least, I fear that’s true.
            And what will be left of me as she comes true?
Cheap thrill. Cruelty. The red garment of my body.
            This new absence I’ve been courting
with the purple wounds of the peonies.
            The shadows of last year’s fields."
"Here, the Sparrows Were, All Along","Every minute or so, a hallelujah
dies in someone’s mouth. Every minute or so, a gunshot.
            A ceasefire. A tire shreds
                        on the highway, & pieces flit like sparrows
across the sky. Silly me. I thought
                                                we were here to live.
            The garden’s hallelujahs: tulips & rhododendrons, alive
in the ground. We expect so much
                                    of life. Once, I was a child. Then, a child
                        was locked inside me. Now, a different
country claims us. Tie my hands
            to the wind. Strip my mouth of any country
                                                that doesn’t fit. Sorrow the sparrow’s
steel cord & textile torso. Its irrational wings.
                                    The problem with flying is most people
                        settle for land, no matter how often
we are unloved by land.
                                    Rewind the centuries:
                        before planes, the accidents of a gun,
or mouth, or gentle morning, how many people
                                    believed they could fly? Breaking gravity,
            what names did they cry when they took that first step
away? Listen to me. I’m telling you
                                                 what only the wind knows—
here, the sparrows were, all along. Nailed
to their species. Alive, or not
alive. Sometimes, not alive at all."
