Poem Name,Poem Content
Song of the Deathless Voice,"'Twas the dusky Hallowe'en —
Hour of fairy and of wraith,
When in many a dim-lit green,
'Neath the stars' prophetic sheen,
As the olden legend saith,
All the future may be seen,
And when — an older story hath —
Whate'er in life hath ever been
Loveful, hopeful, or of wrath,
Cometh back upon our path.
I was dreaming in my room,
'Mid the shadows, still as they;
Night, in veil of woven gloom,
Wept and trailed her tresses gray
O'er her fair, dead sister — Day.
To me from some far-away
Crept a voice — or seemed to creep —
As a wave-child of the deep,
Frightened by the wild storm's roar
Creeps low-sighing to the shore
Very low and very lone
Came the voice with song of moan,
This, weak-sung in weaker word,
Is the song that night I heard:

   How long! Alas, how long!
How long shall the Celt chant the sad song of hope,
That a sunrise may break on the long starless night of our past?
How long shall we wander and wait on the desolate slope
Of Thabors that promise our Transfiguration at last?
   How long, O Lord! How long!

   How long, O Fate! How long!
How long shall our sunburst reflect but the sunset of Right,
When gloaming still lights the dim immemorial years?
How long shall our harp's strings, like winds that are wearied of night,
Sound sadder than moanings in tones all a-trembling with tears?
   How long, O Lord! How long!

   How long, O Right! How long!
How long shall our banner, the brightest that ever did flame
In battle with wrong, droop furled like a flag o'er a grave?
How long shall we be but a nation with only a name,
Whose history clanks with the sounds of the chains that enslave?
   How long, O Lord! How long!

   How long! Alas, how long!
How long shall our isle be a Golgotha, out in the sea,
With a cross in the dark? Oh, when shall our Good Friday close?
How long shall thy sea that beats round thee bring only to thee
The wailings, O Erin! that float down the waves of thy woes?
   How long, O Lord! How long!

   How long! Alas, how long!
How long shall the cry of the wronged, O Freedom! for thee
Ascend all in vain from the valleys of sorrow below?
How long ere the dawn of the day in the ages to be,
When the Celt will forgive, or else tread on the heart of his foe?
   How long, O Lord! How long!

Whence came the voice? Around me gray silence fall;
And without in the gloom not a sound is astir 'neath the sky;
And who is the singer? Or hear I a singer at all?
Or, hush! Is't my heart athrill with some deathless old cry?

Ah! blood forgets not in its flowing its forefathers' wrongs —
They are the heart's trust, from which we may ne'er be released;
Blood keeps in its throbs the echoes of all the old songs
And sings them the best when it flows thro' the heart of a priest.

Am I not in my blood as old as the race whence I sprung?
In the cells of my heart feel I not all its ebb and its flow?
And old as our race is, is it not still forever as young,
As the youngest of Celts in whose breast Erin's love is aglow?

The blood of a race that is wronged beats the longest of all,
For long as the wrong lasts, each drop of it quivers with wrath;
And sure as the race lives, no matter what fates may befall,
There's a Voice with a Song that forever is haunting its path.

Aye, this very hand that trembles thro' this very line,
Lay hid, ages gone, in the hand of some forefather Celt,
With a sword in its grasp, if stronger, not truer than mine,
And I feel, with my pen, what the old hero's sworded hand felt —

The heat of the hate that flashed into flames against wrong,
The thrill of the hope that rushed like a storm on the foe;
And the sheen of that sword is hid in the sheath of the song
As sure as I feel thro' my veins the pure Celtic blood flow.

The ties of our blood have been strained o'er thousands of years,
And still are not severed, how mighty soever the strain;
The chalice of time o'erflows with the streams of our tears,
Yet just as the shamrocks, to bloom, need the clouds and their rain,

The Faith of our fathers, our hopes, and the love of our isle
Need the rain of our hearts that falls from our grief-clouded eyes,
To keep them in bloom, while for ages we wait for the smile
Of Freedom, that some day — ah! some day! shall light Erin's skies.

Our dead are not dead who have gone, long ago, to their rest;
They are living in us whose glorious race will not die —
Their brave buried hearts are still beating on in each breast
Of the child of each Celt in each clime 'neath the infinite sky.

Many days yet to come may be dark as the days that are past,
Many voices may hush while the great years sweep patiently by;
But the voice of our race shall live sounding down to the last,
And our blood is the bard of the song that never shall die."
The Bride of Corinth [From my grave to wander],"   ""From my grave to wander I am forc'd
      Still to seek The God's long-sever'd link,
Still to love the bridegroom I have lost,
      And the life-blood of his heart to drink;
         When his race is run,
         I must hasten on,
   And the young must 'neath my vengeance sink.

   ""Beauteous youth! no longer mayst thou live;
      Here must shrivel up thy form so fair;
Did not tI to thee a token give.
      Taking in return this lock of hair?
         View it to thy sorrow!
         Grey thou'lt be to-morrow,
      Only to grow brown again when there.""

   ""Mother, to this final prayer give ear!
      Let a funeral pile be straightway dress'd;
Open then my cell so sad and drear,
      That the flames may give the lovers rest!
         When ascends the fire
         From the glowing pyre,
      To the gods of old we'll hasten, blest."""
Red Lilies,"Someone has remembered to dry the dishes;
they have taken the accident out of the stove.
Afterward lilies for supper; there
the lines in front of the window
are rubbed on the table of stone

The paper flies up
then down as the wind
repeats. repeats its birdsong.

Those arms under the pillow
the burrowing arms they cleave
as night as the tug kneads water
calling themselves branches

The tree is you
the blanket is what warms it
snow erupts from thistle;
the snow pours out of you.

A cold hand on the dishes
placing a saucer inside

her who undressed for supper
gliding that hair to the snow

The pilot light
went out on the stove

The paper folded like a napkin
other wings flew into the stone."
First Turn to Me...,"First turn to me after a shower,
you come inside me sideways as always

in the morning you ask me to be on top of you,
then we take a nap, we’re late for school

you arrive at night inspired and drunk,
there is no reason for our clothes

we take a bath and lie down facing each other,
then later we turn over, finally you come

we face each other and talk about childhood
as soon as I touch your penis I wind up coming

you stop by in the morning to say hello
we sit on the bed indian fashion not touching

in the middle of the night you come home
from a nightclub, we don’t get past the bureau

next day it’s the table, and after that the chair
because I want so much to sit you down & suck your cock

you ask me to hold your wrists, but then when I
touch your neck with both my hands you come

it’s early morning and you decide to very quietly
come on my knee because of the children

you’ve been away at school for centuries, your girlfriend
has left you, you come four times before morning

you tell me you masturbated in the hotel before you came by
I don’t believe it, I serve the lentil soup naked

I massage your feet to seduce you, you are reluctant,
my feet wind up at your neck and ankles

you try not to come too quickly
also, you dont want to have a baby

I stand up from the bath, you say turn around
and kiss the backs of my legs and my ass

you suck my cunt for a thousand years, you are weary
at last I remember my father’s anger and I come

you have no patience and come right away
I get revenge and won’t let you sleep all night

we make out for so long we can’t remember how
we wound up hitting our heads against the wall

I lie on my stomach, you put one hand under me
and one hand over me and that way can love me

you appear without notice and with flowers
I fall for it and we become missionaries

you say you can only fuck me up the ass when you are drunk
so we try it sober in a room at the farm

we lie together one night, exhausted couplets
and don’t make love. does this mean we’ve had enough?

watching t.v. we wonder if each other wants to
interrupt the plot; later I beg you to read to me

like the Chinese we count 81 thrusts
then 9 more out loud till we both come

I come three times before you do
and then it seems you’re mad and never will

it’s only fair for a woman to come more
think of all the times they didn’t care"
Living by the Red River (audio only), Click the icon above to listen to this audio poem.
Moonrise,"Will you glimmer on the sea? 
Will you fling your spear-head 
On the shore? 
What note shall we pitch? 
 
We have a song,         
On the bank we share our arrows— 
The loosed string tells our note: 
 
O flight, 
Bring her swiftly to our song. 
She is great,         
We measure her by the pine-trees."
Song for the Clatter-Bones,"God rest that Jewy woman,
Queen Jezebel, the bitch
Who peeled the clothes from her shoulder-bones
Down to her spent teats
As she stretched out of the window
Among the geraniums, where
She chaffed and laughed like one half daft
Titivating her painted hair—

King Jehu he drove to her,
She tipped him a fancy beck;
But he from his knacky side-car spoke,
""Who'll break that dewlapped neck?""
And so she was thrown from the window;
Like Lucifer she fell
Beneath the feet of the horses and they beat
The light out of Jezebel.

That corpse wasn't planted in clover;
Ah, nothing of her was found
Save those grey bones that Hare-foot Mike
Gave me for their lovely sound;
And as once her dancing body
Made star-lit princes sweat,
So I'll just clack: though her ghost lacks a back
There's music in the old bones yet."
During Wind and Rain,"They sing their dearest songs—
He, she, all of them—yea,
Treble and tenor and bass.
And one to play;
With the candles mooning each face...
Ah, no; the years O!
How the sick leaves reel down in throngs!

They clear the creeping moss—
Elders and juniors-—aye,
Making the pathways neat
And the garden gay;
And they build a shady seat...
Ah, no; the years, the years;
See, the white storm-birds wing across!

They are blithely breakfasting all—
Men and maidens—yea,
Under the summer tree,
With a glimpse of the bay,
While pet fowl come to the knee...
Ah, no; the years O!
And the rotten rose is ripped from the wall.

They change to a high new house,
He, she, all of them—aye,
Clocks and carpets and chairs
On the lawn all day,
And brightest things that are theirs...
Ah, no; the years, the years;
Down their carved names the raindrop plows."
The Yellow Bittern (An Bunnan Bui),"The yellow bittern that never broke out
In a drinking bout, might as well have drunk;
His bones are thrown on a naked stone
Where he lived alone like a hermit monk.
0 yellow bittern! I pity your lot,
Though they say that a sot like myself is curst
I was sober a while, but I'll drink and be wise
For I fear I should die in the end of thirst.

It's not for the common birds that I'd mourn,
The blackbird, the corn-crake, or the crane,
But for the bittern that's shy and apart
Where he drinks in the marsh from the lone bog-drain.
Oh! if I had known you were near your death
While my breath held out I'd have run to you,
Till a splash from the Lake of the Son of the Bird
Your soul would have stirred and waked anew.

My darling told me to drink no more
Or my life would be o'er in a little short while;
But I told her 'tis drink gives me health and strength
And will lengthen my road by many a mile.
You see how the bird of the long smooth neck
Could get his death from the thirst at last
Come, son of my soul, and drain your cup,
You'll get no sup when your life is past.

In a wintering island by Constantine's halls
A bittern calls from a wineless place,
And tells me that hither he cannot come
Till the summer is here and the sunny days.
When he crosses the stream there and wings o'er the sea
Then a fear comes to me he may fail in his flight—
Well, the milk and the ale are drunk every drop,
And a dram won't stop our thirst this night."
I see the boys of summer,"I
I see the boys of summer in their ruin
Lay the gold tithings barren,
Setting no store by harvest, freeze the soils;
There in their heat the winter floods
Of frozen loves they fetch their girls,
And drown the cargoed apples in their tides.

These boys of light are curdlers in their folly,
Sour the boiling honey;
The jacks of frost they finger in the hives;
There in the sun the frigid threads
Of doubt and dark they feed their nerves;
The signal moon is zero in their voids.

I see the summer children in their mothers
Split up the brawned womb's weathers,
Divide the night and day with fairy thumbs;
There in the deep with quartered shades
Of sun and moon they paint their dams
As sunlight paints the shelling of their heads.

I see that from these boys shall men of nothing
Stature by seedy shifting,
Or lame the air with leaping from its heats;
There from their hearts the dogdayed pulse
Of love and light bursts in their throats.
O see the pulse of summer in the ice.
II
But seasons must be challenged or they totter
Into a chiming quarter
Where, punctual as death, we ring the stars;
There, in his night, the black-tongued bells
The sleepy man of winter pulls,
Nor blows back moon-and-midnight as she blows.

We are the dark derniers let us summon
Death from a summer woman,
A muscling life from lovers in their cramp
From the fair dead who flush the sea
The bright-eyed worm on Davy's lamp
And from the planted womb the man of straw.

We summer boys in this four-winded spinning,
Green of the seaweeds' iron,
Hold up the noisy sea and drop her birds,
Pick the world's ball of wave and froth
To choke the deserts with her tides,
And comb the county gardens for a wreath.

In spring we cross our foreheads with the holly,
Heigh ho the blood and berry,
And nail the merry squires to the trees;
Here love's damp muscle dries and dies
Here break a kiss in no love's quarry,
O see the poles of promise in the boys.
III
I see you boys of summer in your ruin.
Man in his maggot's barren.
And boys are full and foreign to the pouch.
I am the man your father was.
We are the sons of flint and pitch.
O see the poles are kissing as they cross."
