Poem Name,Poem Content
Bats,"unveil themselves in dark.
They hang, each a jagged,

silken sleeve, from moonlit rafters bright
as polished knives. They swim

the muddled air and keen
like supersonic babies, the sound

we imagine empty wombs might make
in women who can’t fill them up.

A clasp, a scratch, a sigh.
They drink fruit dry.

And wheel, against feverish light flung hard
upon their faces,

in circles that nauseate.
Imagine one at breast or neck,

Patterning a name in driblets of iodine
that spatter your skin stars.

They flutter, shake like mystics.
They materialize. Revelatory

as a stranger’s underthings found tossed
upon the marital bed, you tremble

even at the thought. Asleep,
you tear your fingers

and search the sheets all night."
The Kiss,"She pressed her lips to mind.
—a typo
How many years I must have yearned
for someone’s lips against mind.
Pheromones, newly born, were floating
between us. There was hardly any air.
She kissed me again, reaching that place
that sends messages to toes and fingertips,
then all the way to something like home.
Some music was playing on its own.
Nothing like a woman who knows
to kiss the right thing at the right time,
then kisses the things she’s missed.
How had I ever settled for less?
I was thinking this is intelligence,
this is the wisest tongue
since the Oracle got into a Greek’s ear,
speaking sense. It’s the Good,
defining itself. I was out of my mind.
She was in. We married as soon as we could."
I Would Like to Describe,"I would like to describe the simplest emotion
joy or sadness
but not as others do
reaching for shafts of rain or sun

I would like to describe a light
which is being born in me
but I know it does not resemble
any star
for it is not so bright
not so pure
and is uncertain

I would like to describe courage
without dragging behind me a dusty lion
and also anxiety
without shaking a glass full of water

to put it another way
I would give all metaphors
in return for one word
drawn out of my breast like a rib
for one word
contained within the boundaries
of my skin

but apparently this is not possible

and just to say - I love
I run around like mad
picking up handfuls of birds
and my tenderness
which after all is not made of water
asks the water for a face
and anger
different from fire
borrows from it
a loquacious tongue

so is blurred
so is blurred
in me
what white-haired gentlemen
separated once and for all
and said 
this is the subject
and this is the object

we fall asleep
with one hand under our head
and with the other in a mound of planets

our feet abandon us
and taste the earth
with their tiny roots
which next morning
we tear out painfully"
Atlantis—A Lost Sonnet,"How on earth did it happen, I used to wonder
that a whole city—arches, pillars, colonnades, 
not to mention vehicles and animals—had all 
one fine day gone under?

I mean, I said to myself, the world was small then.
Surely a great city must have been missed?
I miss our old city —

white pepper, white pudding, you and I meeting 
under fanlights and low skies to go home in it. Maybe 
what really happened is 

this: the old fable-makers searched hard for a word
to convey that what is gone is gone forever and 
never found it. And so, in the best traditions of 

where we come from, they gave their sorrow a name
and drowned it."
1990 special,"year-worn
weary to the bone,
dancing in the dark with the
dark,
the Suicide Kid gone
gray.

ah, the swift summers
over and gone
forever!

is that death
stalking me
now?

no, it’s only my cat,
this
time."
Practice,"To weep unbidden, to wake
at night in order to weep, to wait
for the whisker on the face of the clock
to twitch again, moving
the dumb day forward—

is this merely practice?
Some believe in heaven,
some in rest. We’ll float,
you said. Afterward
we’ll float between two worlds—

five bronze beetles
stacked like spoons in one
peony blossom, drugged by lust:
if I came back as a bird
I’d remember that—

until everyone we love
is safe is what you said."
Mottled Tuesday,"Something was about to go laughably wrong,
whether directly at home or here,
on this random shoal pleading with its eyes
till it too breaks loose, caught in a hail of references.
I’ll add one more scoop
to the pile of retail.

Hey, you’re doing it, like I didn’t tell you
to, my sinking laundry boat, point of departure,
my white pomegranate, my swizzle stick.
We’re leaving again of our own volition
for bogus patterned plains streaked by canals,
maybe. Amorous ghosts will pursue us
for a time, but sometimes they get, you know, confused and
forget to stop when we do, as they continue to populate this
fertile land with their own bizarre self-imaginings.
Here’s hoping the referral goes tidily, O brother.
Chime authoritatively with the pop-ups and extras.
Keep your units pliable and folded,
the recourse a mere specter, like you have it coming to you,
awash with the new day and its abominable antithesis,
OK? Don’t be able to make that distinction."
Late Autumn Wasp,"One must admire the desperate way
                it flings
itself through air amid winter’s slow
                paralysis,
and clings to shriveled fruit, dropped
                Coke bottle,
any sugary residue, any unctuous
                carcass,
and slug-drunk grows stiff, its joints
                unswiveled,
wings stale and oar-still, like a heart;
                yes, almost
too easily like a heart the way, cudgeled,
                it lies
waiting for shift of season, light, a thing
                to drink down,
gnaw on, or, failing that, leaves half of
                itself torn
willingly, ever-quivering, in some
                larger figure."
My First Memory (of Librarians),"This is my first memory:
A big room with heavy wooden tables that sat on a creaky
       wood floor
A line of green shades—bankers’ lights—down the center
Heavy oak chairs that were too low or maybe I was simply
       too short
              For me to sit in and read
So my first book was always big

In the foyer up four steps a semi-circle desk presided
To the left side the card catalogue
On the right newspapers draped over what looked like
       a quilt rack
Magazines face out from the wall

The welcoming smile of my librarian
The anticipation in my heart
All those books—another world—just waiting
At my fingertips."
Einstein Defining Special Relativity,"INSERT SHOT: Einstein’s notebook 1905—DAY 1: a theory that is based on two postulates (a) that the speed of light in all inertial frames is constant, independent of the source or observer. As in, the speed of light emitted from the truth is the same as that of a lie coming from the lamp of a face aglow with trust, and (b) the laws of physics are not changed in all inertial systems, which leads to the equivalence of mass and energy and of change in mass, dimension, and time; with increased velocity, space is compressed in the direction of the motion and time slows down. As when I look at Mileva, it’s as if I’ve been in a space ship traveling as close to the speed of light as possible, and when I return, years later, I’m younger than when I began the journey, but she’s grown older, less patient. Even a small amount of mass can be converted into enormous amounts of energy: I’ll whisper her name in her ear, and the blood flows like a mallet running across vibes. But another woman shoots me a flirting glance, and what was inseparable is now cleaved in two."
Sampling,"I’m standing on 10th Street. I’m not the only one. Buildings rise like
              foliage and human touch.

And so shall dig this cigarette as my last, and rattle trains, and rot the fences
              of the gardens of my body—

or without the harmony of speaking here the many sounds and rhythms that
              sound a lot like anger

when anger’s silent, like a painting, though in the stillness of the paint itself
              the painter nods or waves or asks for help.

I’m not the only one. The pharmacy’s untitled. The stars are there at night.
              In this Humidity

the forlorn singing of the insects clings to anything nailed down. A whole bag of
              things I’m working

through, some set things that I know, like words I know that mean ""from
              one place to another,"" the word that means

""to carry."" I’m standing still on 10th Street. I’m not the only one.
              The dark tastes of salt and oranges. Its eyes

wander round and round. I am its thousand windows. I think about the future
              and the sea. And stay."
Russian Birch,"Is it agony that has bleached them to such beauty? Their stand 
is at the edge of our property—white spires like fingers, through which
the deer emerge with all the tentative grace of memory. Your father

loved these trees. When you try to imagine his childhood, it is all old 
footage, in a similar scheme: black and white. But he died, and all you know 
is that they reminded him of home.  As they remind you he is gone

to a country as unimaginable as his life before you were born, before
the woman who would be your mother lived as she does now—lost, 
wandering at the edge of her life’s whitened gates. 

After a storm, one birch fell in the field, an ivory buttress collapsed across
the pasture.  Up close there is pink skin beneath the paper, green lichen
ascending in settlements of scales. In the dark yard it beckons you back 

to snow, the static of the past—your father, a boy, speaking in a tongue
you never knew, calling down from the branches. Or the letter you wrote
to a mother you weren’t allowed to miss—black ink scrawled across

the white pulp of the page: I am very lonely without you."
