Poem Name,Poem Content
If I Should Ever by Chance,"If I should ever by chance grow rich
I'll buy Codham, Cockridden, and Childerditch,
Roses, Pyrgo, and Lapwater,
And let them all to my elder daughter.
The rent I shall ask of her will be only
Each year's first violets, white and lonely,
The first primroses and orchises—
She must find them before I do, that is.
But if she finds a blossom on furze
Without rent they shall all for ever be hers,
Codham, Cockridden, and Childerditch,
Roses, Pyrgo and Lapwater,—
I shall give them all to my elder daughter."
Thaw,"Over the land freckled with snow half-thawed
The speculating rooks at their nests cawed
And saw from elm-tops, delicate as flowers of grass,
What we below could not see, Winter pass."
Will You Come?,"Will you come?
Will you come?
Will you ride
So late
At my side?
O, will you come?
Will you come?
Will you come?
If the night
Has a moon,
Full and bright?
O, will you come?
Would you come?
Would you come
If the noon
Gave light,
Not the moon?
Beautiful, would you come?
Would you have come?
Would you have come
Without scorning,
Had it been
Still morning?
Beloved, would you have come?
If you come
Haste and come.
Owls have cried;
It grows dark
To ride.
Beloved, beautiful, come."
The Manor Farm,"The rock-like mud unfroze a little and rills
Ran and sparkled down each side of the road
Under the catkins wagging in the hedge.
But earth would have her sleep out, spite of the sun;
Nor did I value that thin gilding beam
More than a pretty February thing
TIll I came down to the old Manor Farm,
And church and yew-tree opposite, in age
Its equals and in size. The church and yew
And farmhouse slept in a Sunday silentness. 
The air raised not a straw. The steep farm roof,
With tiles duskily glowing, entertained
The mid-day sun; and up and down the roof
White pigeons nestled. There was no sound but one.
Three cart-horses were looking over a gate
Drowsily through their forelocks, swishing their tails
Against a fly, a solitary fly.
The Winter's cheek flushed as if he had drained
Spring, Summer, and Autumn at a draught
And smiled quietly. But ’twas not Winter—
Rather a season of bliss unchangeable
Awakened from farm and church where it had lain
Safe under tile and thatch for ages since
This England, Old already, was called Merry."
Tears,"It seems I have no tears left. They should have fallen—
Their ghosts, if tears have ghosts, did fall—that day
When twenty hounds streamed by me, not yet combed out
But still all equals in their rage of gladness
Upon the scent, made one, like a great dragon
In Blooming Meadow that bends towards the sun
And once bore hops: and on that other day
When I stepped out from the double-shadowed Tower
Into an April morning, stirring and sweet
And warm. Strange solitude was there and silence.
A mightier charm than any in the Tower
Possessed the courtyard. They were changing guard,
Soldiers in line, young English countrymen,
Fair-haired and ruddy, in white tunics. Drums
And fifes were playing “The British Grenadiers.”
The men, the music piercing that solitude
And silence, told me truths I had not dreamed,
And have forgotten since their beauty passed."
Unsolved,"Amid my books I lived the hurrying years,
   Disdaining kinship with my fellow man;
Alike to me were human smiles and tears,
   I cared not whither Earth's great life-stream ran,
Till as I knelt before my mouldered shrine,
   God made me look into a woman's eyes;
And I, who thought all earthly wisdom mine,
   Knew in a moment that the eternal skies
Were measured but in inches, to the quest
   That lay before me in that mystic gaze.
“Surely I have been errant; it is best
   That I should tread, with men their human ways.”
God took the teacher, ere the task was learned,
And to my lonely books again I turned."
The Unconquered Dead,"“...defeated, with great loss.” 
Not we the conquered! Not to us the blame
   Of them that flee, of them that basely yield;
Nor ours the shout of victory, the fame
   Of them that vanquish in a stricken field.
That day of battle in the dusty heat
   We lay and heard the bullets swish and sing
Like scythes amid the over-ripened wheat,
   And we the harvest of their garnering.
Some yielded, No, not we! Not we, we swear
   By these our wounds; this trench upon the hill
Where all the shell-strewn earth is seamed and bare,
   Was ours to keep; and lo! we have it still.
We might have yielded, even we, but death
   Came for our helper; like a sudden flood
The crashing darkness fell; our painful breath
   We drew with gasps amid the choking blood.
The roar fell faint and farther off, and soon
   Sank to a foolish humming in our ears,
Like crickets in the long, hot afternoon
   Among the wheat fields of the olden years.
Before our eyes a boundless wall of red
   Shot through by sudden streaks of jagged pain!
Then a slow-gathering darkness overhead
   And rest came on us like a quiet rain.
Not we the conquered! Not to us the shame,
   Who hold our earthen ramparts, nor shall cease
To hold them ever; victors we, who came
   In that fierce moment to our honoured peace."
Disarmament,"One spake amid the nations, “Let us cease
   From darkening with strife the fair World's light,
We who are great in war be great in peace.
   No longer let us plead the cause by might.”
But from a million British graves took birth
   A silent voice—the million spake as one—
“If ye have righted all the wrongs of earth
   Lay by the sword! Its work and ours is done.”"
Penance,"My lover died a century ago,
Her dear heart stricken by my sland'rous breath,
Wherefore the Gods forbade that I should know
                     The peace of death.
Men pass my grave, and say, “’Twere well to sleep,
Like such an one, amid the uncaring dead!”
How should they know the vigil that I keep,
                     The tears I shed?
Upon the grave, I count with lifeless breath,
Each night, each year, the flowers that bloom and die,
Deeming the leaves, that fall to dreamless death,
                     More blest than I.
’Twas just last year—I heard two lovers pass
So near, I caught the tender words he said:
To-night the rain-drenched breezes sway the grass
                     Above his head.
That night full envious of his life was I,
That youth and love should stand at his behest;
To-night, I envy him, that he should lie
                     At utter rest.
 "
The Anxious Dead,"O guns, fall silent till the dead men hear
Above their heads the legions pressing on:
(These fought their fight in time of bitter fear,
And died not knowing how the day had gone.)
O flashing muzzles, pause, and let them see
The coming dawn that streaks the sky afar;
Then let your mighty chorus witness be
To them, and Caesar, that we still make war.
Tell them, O guns, that we have heard their call,
That we have sworn, and will not turn aside,
That we will onward till we win or fall,
That we will keep the faith for which they died.
Bid them be patient, and some day, anon,
They shall feel earth enwrapt in silence deep;
Shall greet, in wonderment, the quiet dawn,
And in content may turn them to their sleep."
Thoughts on the Shape of the Human Body,"How can we find? how can we rest? how can
We, being gods, win joy, or peace, being man?
We, the gaunt zanies of a witless Fate,
Who love the unloving, and the lover hate.
Forget the moment ere the moment slips,
Kiss with blind lips that seek beyond the lips,
Who want, and know not what we want, and cry
With crooked mouths for Heaven, and throw it by.
Love’s for completeness! No perfection grows
‘Twixt leg, and arm, elbow, and ear, and nose,
And joint, and socket; but unsatisfied
Sprawling desires, shapeless, perverse, denied.
Finger with finger wreathes; we love, and gape,
Fantastic shape to mazed fantastic shape,
Straggling, irregular, perplexed, embossed,
Grotesquely twined, extravagantly lost
By creseive paths and strange protuberant ways
From sanity and from wholeness and from grace.
How can love triumph, how can solace be,
Where fever turns toward fever, knee toward knee?
Could we but fill to harmony, and dwell
Simple as our thought and as perfectible,
Rise disentangled from humanity
Strange whole and new with simplicity,
Grow to a radiant round love, and bear
Unfluctuant passion for some perfect sphere,
Love moon to moon unquestioning, and be
Like the star Lunisequa, steadfastly
Folowing the round clear orb of her delight,
Patiently ever, through the eternal night!"
The Funeral of Youth: Threnody,"The day that Youth had died,
there came to his grave-side,
In decent mourning, from the coutnry’s ends,
Those scatter’d friends
Who had liv’d the boon companions of his prime,
And laugh’d with him and sung with him and wasted,
In feast and wine and many-crown’d carouse,
The days and nights and dawnings of the time
When Youth kept open house,
Nor left untasted
Aught of his high emprise and ventures dear.
No quest of his unshar’d—
All these, with loitering feet and sad dead bar’d
Follow’d their old friend’s fire.
Folly went first,
With muffled bells and coxcomb still revers’d;
And after trod the bearers, had in hand—
Laughter, most hoarse, and Captain Pride with tann’d
And martial face all grim, and fussy Joy,
Who had to catch a train, and Lust, poor, sniveling boy;
These bore the dear departed.
Behind them, broken-hearted,
Came Grief, so noisy a widow, that all said,
‘Had he but wed
Her elder sister Sorrow, in her stead!’
And by her, trying to soothe her all the time,
The fatherless children, Colour, Tune, and Rhyme
(The sweet lad Rhyme), ran all-uncomprehending.
Then, at the way’s sad ending,
Round the raw frave they stay’d.    Old Wisdom read,
In mumbling tone, the Service for the Dead.
there stood Romance,
The furrowing tears had mark’d her rouged cheek;
Poor old Conceit, his wonder unassuag’d;
Dead Innocency’s daughter, Ignorance;
And shabby, ill-dress’d Generosity;
And Argument, too full or woe to speak;
Passion, grown portly, something middle-aged;
And Friendship—not a minute older, she;
Impatience, ever taking out his watch;
Faith, who was deaf, and had to lean, to catch
Old Wisdom’s endless drone.
Beauty was there,
Pale in her black; dry-ey’d; she stood alone.
Poor maz’d Imagination; Fancy wild;
Ardour, the sunlight on his greying hair;
Contentment, who had known Youth as a child
And never seen him since.     And Spring came too,
Dancing over the tombs, and brought him flowers
She did not stay for long.
And Truth, and Grace, and all the merry crew,
The laughing Winds and Rivers, and lithe Hours;
And Hope, the dewy-ey’d; and sorrowing Song;—
Yes, with much woe and mourning general,
At dead Youth’s funeral,
Even these were met once more together, all,
Who erst the fair and living Youth did know;
All, except only Love.    Love had died long ago."
The Night Journey,"Hands and lit faces eddy to a line;
    The dazed las minutes click; the clamour dies.
Beyond the great-swung are o’ the roof, divine,
    Night, smoky-scarv’d, with thousand coloured eyes
Glares the imperious mystery of the way.
    Thirsty for dark, you feel the long-limbed train
Throb, stretch, thrill motion, slide, pull out and sway,
    Strain for the far, pause, draw to strength again. . . . 
As a man, caught by some great hour, will rise,
    Slow-limbed, to meet the light or find his love;
And, breathing long, with staring sightless eyes,
    Hands out, head back, agape and silent, move
Sure as a flood, smooth as a vast wind blowing;
    And, gathering power and purpose as he goes,
Unstumbling, unreluctant, strong, unknowing,
    Borne by a will not his, that lifts, that grows,
Sweep out to darkness, triumphing in his goal,
    Out of the fire, out of the little room. . . .
—There is an end appointed. O my soul!
    Crimson and green and signals burn; the gloom
Is hung with steam’s far-blowing livid streamers.
    Lost into God, as lights in light, we fly,
Grown one with will, end-drunken huddled dreamers.
    The white lights roar.    The sounds of the world die.
And lips and laughter are forgotten thing.
    Speed sharpens; grows.    Into the night, and on,
The strength and splendor of our purpose swings.
    The lamps fade; and the stars.    We are alone. "
Mutability,"They say there’s a high windless world and strange,
    Out of the wash of days and temporal tide,
    Where Faith and Good, Wisdom and Truth abide,
Æterna corpora, subject to no change.
There the sure suns of those pale shadows move;
    There stand the immortal ensigns of our war;
    Our melting flesh fixed Beauty there, a star,
And perishing hearts, imperishable Love. . . .
Dear, we know only that we sigh, kiss, smile;
    Each kiss lasts but the kissing; and grief goes over;
    Love has no habitation but the heart.
Poor straws! on the dark flood we catch awhile,
    Cling, and are born into the night apart.
    The laugh dies with the lips, ‘Love’ with the lover."
