Poem Name,Poem Link
The Three Birds of the Milky Way,https://poets.org/poem/three-birds-milky-way
"Self-Portrait as a Body, a Sea",https://poets.org/poem/self-portrait-body-sea
Brood,https://poets.org/poem/brood
Changing Is Not Vanishing,https://poets.org/poem/changing-not-vanishing
The Lost Lagoon,https://poets.org/poem/lost-lagoon
The White-headed Woodpecker,https://poets.org/poem/white-headed-woodpecker
In the Discount Lot,https://poets.org/poem/discount-lot
Gun Control,https://poets.org/poem/gun-control
Offering,https://poets.org/poem/offering-0
Río Chamita,https://poets.org/poem/rio-chamita
Jaguar Song,https://poets.org/poem/jaguar-song
Scintillant,https://poets.org/poem/scintillant
Acequia del Llano,https://poets.org/poem/acequia-del-llano
Sight Lines,https://poets.org/poem/sight-lines
Artless,https://poets.org/poem/artless
Nachtraglichtkeit,https://poets.org/poem/nachtraglichtkeit
Our Family on the Run,https://poets.org/poem/our-family-run
Blueberries for Cal,https://poets.org/poem/blueberries-cal
Identity & Community (There is no “I” in “Sea”),https://poets.org/poem/identity-community-there-no-i-sea
Self-Compassion,https://poets.org/poem/self-compassion
Anne,https://poets.org/poem/anne
what we learn in time of pestilence,https://poets.org/poem/what-we-learn-time-pestilence
The Indians’ Spirits,https://poets.org/poem/indians-spirits
Maria and Oceanus,https://poets.org/poem/maria-and-oceanus
In the Meantime,https://poets.org/poem/meantime
On Working Remotely & No Longer Commuting with Chronic Pain,https://poets.org/poem/working-remotely-no-longer-commuting-chronic-pain
Ultra Orator Spell,https://poets.org/poem/ultra-orator-spell
Jellyfish Olympics,https://poets.org/poem/jellyfish-olympics
Sonnets from the Cherokee (I),https://poets.org/poem/sonnets-cherokee-i
We Feel Now A Largeness Coming On,https://poets.org/poem/we-feel-now-largeness-coming
Unto Ourselves: to See What’s There,https://poets.org/poem/unto-ourselves-see-whats-there
Mothership,https://poets.org/poem/mothership
Eat,https://poets.org/poem/eat-0
Last Days,https://poets.org/poem/last-days
How to Apologize,https://poets.org/poem/how-apologize
Hotbed 66,https://poets.org/poem/hotbed-66
From “LOCK DOWN IMPROMPTKU”,https://poets.org/poem/lock-down-impromptku
"Inside me, a family",https://poets.org/poem/inside-me-family
A Witch’s Chant,https://poets.org/poem/witchs-chant
To My Friends,https://poets.org/poem/my-friends-1
Safe Harbor in Enemy Homes,https://poets.org/poem/safe-harbor-enemy-homes
Vermilion,https://poets.org/poem/vermilion
Tower of Babel,https://poets.org/poem/tower-babel
Let There Be,https://poets.org/poem/let-there-be
Emily Said,https://poets.org/poem/emily-said
Mildew,https://poets.org/poem/mildew
Visa,https://poets.org/poem/visa
Aubade on a Ghost Hunt,https://poets.org/poem/aubade-ghost-hunt
Witch Hindu,https://poets.org/poem/witch-hindu
Incantation of the First Order,https://poets.org/poem/incantation-first-order
A Song on the Water,https://poets.org/poem/song-water
Sonnet XLIV,https://poets.org/poem/sonnet-xliv
Breaking [News],https://poets.org/poem/breaking-news-0
One Summer,https://poets.org/poem/one-summer
Dear Birmingham,https://poets.org/poem/dear-birmingham
Waiting for Your Call,https://poets.org/poem/waiting-your-call
from “Disorient: Children of the Revolution”,https://poets.org/poem/disorient-children-revolution
Running Water,https://poets.org/poem/running-water
Journey,https://poets.org/poem/journey-1
Under the Tuscan Sun (2003): A Romance I̶n̶t̶e̶r̶r̶u̶p̶t̶e̶d̶,https://poets.org/poem/under-tuscan-sun-2003-romance-interrupted
Proof,https://poets.org/poem/proof
Driving,https://poets.org/poem/driving
Departure,https://poets.org/poem/departure-0
pantoum for aiyana & not a single hashtag,https://poets.org/poem/pantoum-aiyana-not-single-hashtag
Caprice,https://poets.org/poem/caprice-0
Belt Is Just Another Verb for Song,https://poets.org/poem/belt-just-another-verb-song
Yesterday and To-Day,https://poets.org/poem/yesterday-and-day
from “Passage”,https://poets.org/poem/passage-2
"Burden, old story.",https://poets.org/poem/burden-old-story
Not My Ancestors,https://poets.org/poem/not-my-ancestors
Lover,https://poets.org/poem/lover-2
Bond,https://poets.org/poem/bond
Afroinsularity,https://poets.org/poem/afroinsularity
Primordial Mirror,https://poets.org/poem/primordial-mirror
from “In the After”,https://poets.org/poem/after-3
The Maze,https://poets.org/poem/maze
A Modified Villanelle for My Childhood,https://poets.org/poem/modified-villanelle-my-childhood
The Patron Saints,https://poets.org/poem/patron-saints
One Night,https://poets.org/poem/one-night-0
Masochism of the Knees,https://poets.org/poem/masochism-knees
Refuge,https://poets.org/poem/refuge-1
Life is a Place Where it's Forbidden to Live,https://poets.org/poem/life-place-where-its-forbidden-live
Life As We Know it,https://poets.org/poem/life-we-know-it
0,https://poets.org/poem/0
Looking at Photos,https://poets.org/poem/looking-photos
"The Thing of Nature That Defies or Defers, Rather Than Presupposes, Representation",https://poets.org/poem/thing-nature-defies-or-defers-rather-presupposes-representation
Leave,https://poets.org/poem/leave
The Lobelias of Fear,https://poets.org/poem/lobelias-fear
Conversation in Isolation,https://poets.org/poem/conversation-isolation
A Song of the Road,https://poets.org/poem/song-road
The Carillon,https://poets.org/poem/carillon-0
Silueta of Crushed Lipstick and Mum Petals,https://poets.org/poem/silueta-crushed-lipstick-and-mum-petals
"Year of the Rat, Full Moon in Aries, and Coltrane Plays",https://poets.org/poem/year-rat-full-moon-aries-and-coltrane-plays
The Disappeared,https://poets.org/poem/disappeared
We Were,https://poets.org/poem/we-were
The Only Emperor,https://poets.org/poem/only-emperor
[Know thou well this world its state...],https://poets.org/poem/know-thou-well-world-its-state
Rulers,https://poets.org/poem/rulers
The Pu Pu Platter Appetizer,https://poets.org/poem/pu-pu-platter-appetizer
The Butcher’s Fifth Quarter,https://poets.org/poem/butchers-fifth-quarter
For Henry’s Bar,https://poets.org/poem/henrys-bar
A Distant Song,https://poets.org/poem/distant-song
Promise,https://poets.org/poem/promise
Night Festival,https://poets.org/poem/night-festival
NN3,https://poets.org/poem/nn3
Margo,https://poets.org/poem/margo
French Leave,https://poets.org/poem/french-leave
The Office Building,https://poets.org/poem/office-building
Audience,https://poets.org/poem/audience-1
"What I really want to know is how rough, Melissa,",https://poets.org/poem/what-i-really-want-know-how-rough-melissa
A Word,https://poets.org/poem/word-0
Brown Girl Creed,https://poets.org/poem/brown-girl-creed
Confessional to Famous Iranian Pop Singer Dariush,https://poets.org/poem/confessional-famous-iranian-pop-singer-dariush
The Drowsy World Dreams On,https://poets.org/poem/drowsy-world-dreams
