Poem Name,Poem Content
The Biter Bit,"“Ole woman a swea’ fe eat calalu: a swea’ fe wuk him gut”
            —Jamaica Proverb
Corn an’ peas growin’ t’ick an’ fas’
Wid nice blade peepin’ t’rough de grass;
An’ ratta from dem hole a peep,
T’ink all de corn dem gwin’ go reap.
Ole woman sit by kitchen doo’
Is watchin’ calalu a grow,
An’ all de time a t’inking dat
She gwin’ go nyam dem when dem fat.
But calalu, grow’n’ by de hut,
Is swearin’ too fe wuk him gut;
While she, like some, t’ink all is right
When dey are in some corner tight.
Peas time come roun’—de corn is lef’;
An’ ratta now deh train himse’f
Upon de cornstalk dem a’ night
Fe when it fit to get him bite.
De corn-piece lie do’n all in blue,
An’ all de bard dem floatin’ too
Amongst de yellow grain so gay,
Dat you would watch dem a whole day.
An’ ratta look at ebery one,
Swea’in’ dat dem not gwin’ lef’ none;
But Quaco know a t’ing or two,
An’ swear say dat dem won’t go so.
So him go get a little meal
An’ somet’ing good fe those dat steal,
An’ mix dem up an’ ’pread dem out
For people possess fas’ fas’ mout’.
Now ratta, comin’ from dem nes’,
See it an’ say “Dis food is bes’;”
Dem nyam an’ stop, an’ nyam again,
An’ soon lie do’n, rollin’ in pain."
Pleading,"If you lub me, Joanie, only tell me, dear,
            Do not be so cold
            When my lub is bold;
Do not mek dis burnin’ heart o’ mine get drear,
            Tek it for your own,
            For ’tis yours alone.
I hab eber lub’d you from I saw your face
            On dat Monday morn
            ’Mongst de peas an’ corn:
Lightly did you trip along wid yout’ful grace,
            Wid de kerchief red
            Wound about your head.
Durin’ de revival we b’en use’ fe pray,
            Spirit we b’en hab,
            How we use’ fe sob!
Yet how soon did all of it from we get ’way!
            Lub kiver de whole,
            We feget we “soul.”
Though I could’n’ see you when you younger b’en,
            It was better so,
            For we older grow,
An’ I can protect you now from udder men,
            If you’ll only be
            Fe me one, Joanie.
How I saw you proudly draw up to your height—
            As we strolled along
            Gay in laugh an’ song,
Passin’ by de peenies sheddin’ greenish light—
            ’Cos my lips did miss,
            Stealin’ one lee kiss!
’Member you de days down by de river-side,
            I prevented you
            Your washin’ to do,
Teasin’ you at times till you got vex’ an’ cried,
            An’ I try de while
            To coax you fe smile?
Joanie, when you were me own a true sweetheart,
            I lived in de air
            ’Douten t’ought of care,
Thinkin’, O me Joan dat’ nuttin’ could we part,
            Naught to mek me fear
            Fe me own a dear.
When in church on Sunday days we use’ fe sit,
            You dressed in light pink,
            How we used fe wink!
Wha’ de parson say we cared for not a bit,
            Nuttin’ could remove
            Our sweet t’oughts from love.
I am thinkin’, Joanie, when de nights were lone,
            An’ you were afraid
            Of each darkened shade,
An’ I use’ fe guide you over river-stone,
            How you trusted me
            Fe care you, Joanie.
’Member you de time when many days passed by,
            An’ I didn’ come
            To your hill-side home,
How you wrote those sad, sad letters to know why,
            Till I comfort gave
            To my Joanie brave?
In those happy days, me Joan, you loved me then,
            An’ I t’ought dat you
            Would be ever true;
Never dreamed you would forsake me for strange men,
            Who caan’ lub you so
            Much as thrown-up Joe.
Joanie, fickle Joanie, give up Squire’s son;
            You wi’ soon hate him
            An’ his silly whim,
An’ your heart wi’ yearn fe me when I am gone;
            So, ’fo’ ’tis too late,
            Come back to your mate.
Joanie, when you’re tired of dat worthless man,
            You can come back still
            Of your own free will:
Nummo girl dis true, true heart will understan’;
            I wi’ live so-so,
            Broken-hearted Joe.
An’, Joan, in de days fe come I know you’ll grieve
            For de foolishniss
            Dat you now call bliss:
Dere’s no wrong you done me I would not forgive;
            But you choice your way,
            So, me Joan, good-day!"
Beneath the Yampy Shade,"We sit beneat’ de yampy shade, 
  My lee sweetheart an’ I; 
De gully ripples ’cross de glade, 
   Tom Rafflins hurry by. 

Her pa an’ ma about de fiel’
  Are brukin’ sugar-pine; 
An’ plenty, plenty is de yiel’, 
   Dem look so pink an’ fine. 

We listen to a rapturous chune
   Outpourin’ from above; 
De swee-swees, blithesome birds of June, 
   They sing to us of love. 

She plays wid de triangle leaves, 
   Her hand within mine slips; 
She murmurs love, her bosom heaves, 
   I kiss her ripe, ripe lips. 

De cockstones raise deir droopin’ heads
   To view her pretty feet; 
De skellions trimble in deir beds,
   Dey grudge our lub so sweet—

Love sweeter than a bridal dream, 
   A mudder’s fondest kiss; 
Love purer than a crystal stream, 
   De height of eart’ly bliss. 

We hear again de swee-swees’ song
   Outpourin’ on de air; 
Dey sing for yout’, an’ we are young 
   An’ know naught ’bouten care. 

We sit beneat’ de yampy shade, 
  We pledge our hearts anew; 
De swee-swees droop, de bell-flowers fade
   Before our love so true. "
Rise and Fall,"Dey read em again an’ again, 
  An’ laugh an’ cry at ’em in turn; 
I felt I was gettin’ quite vain, 
   But dere was a lesson fe learn. 

My poverty quickly took wing, 
  Of life no experience had I; 
I couldn’ then want anyt’ing
  Dat kindness or money could buy. 

Dey tek me away from me lan’, 
  De gay o’ de wul’ to behold, 
An’ roam me t’rough palaces gran’, 
  An’ show’red on me honour untold. 

I went to de ballroom at night, 
  An’ danced wid de belles of de hour; 
Half dazed by de glitterin’ light, 
   I lounged in de palm-covered bower. 

I flirted wid beautiful girls, 
  An’ drank o’ de wine flowin’ red; 
I felt my brain movin’ in whirls, 
  An’ knew I was losin’ my head. 

But soon I was tired of it all, 
  My spirit was weary to roam; 
De life grew as bitter as gall, 
   I hungered again for my home. 

Te-day I am back in my lan’, 
  Forgotten by all de gay throng, 
A poorer but far wiser man, 
  An’ knowin’ de right from de wrong. "
A Dream,"The roosters give the signal for daybreak, 
  And through my window pours the grey of morn; 
Refreshing breezes fan me as I wake, 
   And down the valley sounds the wesly horn. 

Day broadens, and I ope the window wide, 
   And brilliant sunbeams, mixing, rush between
The gaping blinds, while down at my bedside
   I kneel to utter praise to the Unseen. 

The torch-light glistens through the wattle-pane, 
   And clouds of smoke wreathe upward to the skies; 
My brother at the squeezer juices cane, 
  And visions of tea-hour before me rise. 

Leaving the valley’s cup the fleeting fog
   Steals up the hill-sides decked with sunbeams rare, 
Which send their search-rays ’neath the time-worn log, 
  And drive the sleeping majoes from their lair. 

But there are some that yest’reve was the last 
  For them to sleep into their watery bed; 
For now my treacherous fish-pot has them fast, 
   Their cruel foe which they had so long dread’. 

Right joyfully I hear the school-bell ring, 
   And by my sister’s side away I trot; 
I’m happy as the swee-swees on the wing, 
   And feel naught but contentment in my lot. 

I lightly gambol on the school-yard green, 
  And where the damsels by the bamboo grove
In beautiful and stately growth are seen, 
   For tiny shiny star-apples I rove. 

.     .      .      .      .      .  

The morning wind blows softly past my door, 
   And we prepare for work with gladsome heart; 
Sweetly the wesly horn resounds once more, 
  A warning that ’tis time for us to start. 

I scamper quickly ’cross the fire-burnt soil, 
   And the coarse grass-tufts prick my tender feet; 
I watch my father at his honest toil, 
   And wonder how he stands the sun’s fierce heat. 

A winding footpath down the woodland leads, 
  And through the tall fox-tails I wend my way 
Down to the brooklet where the pea-dove feeds, 
   And bucktoes in the water are at play. 

And watching as the bubbles rise and fall, 
   I hear above the murmur of the dale
The tropic music dear to great and small, 
   The joyous outburst of the nightingale. 

.     .       .        .      .       .

Gone now those happy days when all was blest, 
   For I have left my home and kindred dear; 
In a strange place I am a stranger’s guest, 
   The pains, the real in life, I’ve now to bear. 

No more again I’ll idle at my will, 
  Running the mongoose down upon the lea;
No more I’ll jostle Monty up the hill, 
   To pick the cashews off the laden tree. 

I feel the sweetness of those days again, 
   And hate, so hate, on the past scenes to look; 
All night in dreaming comes the awful pain, 
   All day I groan beneath the iron yoke. 

In mercy then, ye Gods, deal me swift death! 
   Ah! you refuse, and life instead you give; 
You keep my here and still prolong my breath, 
   That I may suffer all the days I live. 

.      .      .     .     .      .     .

’Tis home again, but not the home of yore; 
   Sadly the scenes of bygone days I view, 
And as I walk the olden paths once more, 
   My heart grows chilly as the morning dew. 

But see! to-day again my life is glad, 
   My heart no more is lone, nor will it pine; 
A comfort comes, an earthly fairy clad
   In white, who guides me with her hand in mine. 

Her lustrous eyes gleam only tender love, 
   And viewing her, an angel form I see; 
I feed my spirit on my gentle dove, 
   My sweetheart Lee, my darling Idalee. 

And where the peenies glow with grenish fire, 
   We kiss and kiss and pledge our hearts as true; 
Of sweet love-words and hugs we never tire, 
   But felt more sorry that they were so few. 

.    .      .        .         .       .

I leave my home again, wand’ring afar, 
   But goes with me her true, her gentle heart, 
Every to be my hope, my guiding star, 
   And whisperings of comfort to impart. 

Methinks we’re strolling by the woodland stream, 
  And my fame thrills with joy to her her sing:
But, O my God! ’tis all—’tis all a dream; 
    This is the end, the rude awakening. 
 "
Walls,"translated from the modern Greek by John Cavafy
Without reflection, without mercy, without shame,
they built strong walls and high, and compassed me about.
And here I sit now and consider and despair.
It wears away my heart and brain, this evil fate:
I had outside so many things to terminate.
Oh! why when they were building could I not beware!
But never a sound of building, never an echo came.
Insensibly they drew the world and shut me out. 
  Τείχη
  Χωρίς περίσκεψιν, χωρίς λύπην, χωρίς αιδώ
μεγάλα κ’ υψηλά τριγύρω μου έκτισαν τείχη.
Και κάθομαι και απελπίζομαι τώρα εδώ.
Άλλο δεν σκέπτομαι: τον νουν μου τρώγει αυτή η τύχη·
διότι πράγματα πολλά έξω να κάμω είχον.
A όταν έκτιζαν τα τείχη πώς να μην προσέξω.
Aλλά δεν άκουσα ποτέ κρότον κτιστών ή ήχον.
Aνεπαισθήτως μ’ έκλεισαν από τον κόσμον έξω."
Heartless Rhoda,"Kiss me, as you want it so; 
   Lub me, ef it wort’ de while; 
Yet I feel it an’ I know
Dat, as t’rough de wul’ you go, 
   You will oft look back an’ smile
At de t’ings which you now do. 

Tek me to de church te-day, 
   Call me wife as you go home; 
Hard fate, smilin’ at us, say 
Dat de whole is so-so play; 
   Soon de ushal en’ will come, 
An’ we both will choice our way. 

.      .     .     .     .     .      . 

Spare you’ breat’, me husban’ true, 
   I be’n marry you fe fun: 
Lub dat las’ long is a few, 
An’ I hadn’t much fe you. 
   I be’n tell you it would done, 
All whe’ come is wha’ you do. 

Life I only care to see
   In de way dat udders live; 
I experiment to be
All dat fate can mek o’ me: 
   Glad I tek all whe’ she give, 
For I’m hopin’ to be free. "
From “This Household of Earthly Nature; An Essay”,"the moon’s rose madder in composite image: capture 
photons from the upper atmosphere, gather all the images  
together, aggregate raw data analyzed into a single instance, come,
fovea and nerve cell and ganglion, fold over on yourself, awake—
it will be a celebration 
“worldmaking is a territorializing process” someone posts on the internet.
“deep down in the bible-black vents” writes Nick Lane in his book about the
biochemistry origins of metabolic processes  
I am trying to tell you something about the architecture of time
I am trying to understand something about the structure of the shared universe 
I am trying to build a nest, in our minds, together 
out of everything, all together. as if we could bear that, 
poet.  
that it is a universe to all but a multiverse to each 
or the opposite, I don’t know, vice versa? I have to go 
sweep my small corner of the universe, the dogs track in 
so much dirt, I have to make breakfast, two or three eggs on toast.  
the shining fats, the protein strands, the sugars, the yeasts, the sun
streaming in at an angle now, the music of the spheres is getting louder— 
the sound of a distant chainsaw, laughter, maybe where you are,
traffic, or birds, or construction, or wind down the canyons of avenues 
honking horns, sirens, a TV in the next room, the sound  
of someone cooking, someone playing an instrument, vibrations 
in the molecules of air, the radio playing Bach or Megan Thee Stallion
or Marketplace Morning Report 
and the constant new hum of electricity coursing through wires,
leaking its bracts and tendrils into the effusive livingrooms and countertops of our
incandescing time  
isn’t there some oscillating connection between a cycle and a trajectory?
this is the calendar of the future, sailing outward, this is how a battery works 
all cycles are rituals 
your tracking number will be provided 
think of every chicken egg on earth, right now. palm-sized 
fruit, or cell, or orbit. there is a way
the present can cannibalize the future, 
the Pleiades come up in the power-line cut, now 
my mother emails me “my credit cards  
aren’t working, please bake me a cake  
with a metal file in it” and  
“the hawks are migrating, again!”  
ants are a game played by chemicals 
humans are a game played by myth 
supply-chain disruptions “uncoiled” 
humans are a game played by markets 
caterpillar tractor, Texas instruments, Boeing signed a deal for 
8,000 more machinists and aerospace engineers, the GDP 
contracted again, this rocky birth, weird chrysalis, phase-converter, please,
algorithm, know me, show me to myself again, to each other, give— 
“weaker global activity…” “lowered demand for grapes”  
“what the actual price of raisins is right now in Tokyo” “speaking
of apples” “to dust we shall return” 
sunlight and sugar: atoms and the void 
dimensional time: to live inside 
for thine is the kingdom, the phyla, the glory 
for thine is the order, the genius, the species 
don’t mess this thing up for us, us apes of kinship and grief 
at the corner of online shopping and heaven 
at the corner of the combustion engine and All-Life-On-Earth 
under this wide swath of infinitely expanding universe, bless 
New-Babel, New-Uruk, New-Arkadelphia, New-Gate 
of-All-Nations, New- Moon-Landing, New-Rain-on-Genetically 
Modified-Wheat, New-Blessings, New-Cyanobacteria-crusting-on-the-small-rocks,
small crustaceans exploring the chromatic topography of our shared mind, let us go
out and ask of it, the World.  
let us go out and ask of it, the world which is hard and made of a hard materia,
electron-repulsion of negatively charged particles which is all you have ever touched,  
neck, body of a lover, table, rock, the space between where atoms sing to the void,
soprano, acapella, queen-of-the-night, king-of-the-road, master-of-puppets, come
back to me, world, work of our hands—"
Mahogany,"No relations but in things—
My father and the economists in repetition
The mahogany tree and its crown
Large shining leaves
Rustling between the rivers
My daughter emerges on the year
Independence is counted
Her power now also commodity
Crown takes crown
Settlement becomes colony
Then crown colony then country
This, the manifestation of matter and idea
Content itself giving birth
To the form already latent
Treaties, trees, children
Appearances, like change
I am trying to see this right side up
The land, the people
Clearing the land for the extraction of wealth
A chair comes into being
Devoid of social history
We see only a chair
My lord, they pleaded
My love, I whisper"
IONE,"Say if you lub me, do tell me truly,
               Ione, Ione;
For, O me dearie, not’in’ can part we,
        Ione, Ione.   
Under de bamboo, where de fox-tail grew,
                 Ione, Ione,
While de cool breeze blew-sweet, I did pledge
you,
                 Ione, Ione.
Where calalu grows an’ yonder brook flows,
                  Ione, Ione,
I held a dog-rose under your li’l nose,
                   Ione, Ione.
There where de lee stream plays wid de sunbeam.
            Ione, Ione,
True be’n de love-gleam as a sweet day-dream,
            Ione, Ione.
Watchin’ de bucktoe under de shadow,
            Ione, Ione,
Of a pear-tree low dat in de stream grow,
            Ione, Ione,
Mek me t’ink how when we were lee children,
            Ione, Ione,
We used to fishen in old Carew Pen,
            Ione, Ione.
Like tiny meshes, curl your black tresses,
            Ione, Ione,
Kiss me, my airy winsome lee fairy,
            Ione, Ione;
Are you now weary, little canary,
Then we will go, pet, as it is sunset,
            Ione, Ione;
Tek dis sweet vi’let, we will be one yet,
            Ione, Ione."
