Poem Name,Poem Content
In the Black Kitchen,"It begins early, arc crumbling over the yard with its salt bird baths.
Then you dream of the banister gleaming, your hand
from atop the stairs gripping a tiny casket. Heat gathers above the
   local graveyard
that dusts so resolutely the young men's shoes with its flags.
This is where the shadows meet the white wall. Since
you were a boy you've moved unmolested right through them.
But you are never alone. You are never without the crumbs
your father scraped off your black toast. The whiter the appliance
the rounder its corners. The reflections on the floor are cut into many
   small pieces.
There's nowhere to hide. He keeps looking in the window at you."
Poem With Wisteria Growing Along its Margin,"The five cool stars above this town look down
upon the main drag & the bar where a guy once fired
four bullets into a biker who said nothing

to the man, who had just laughed too loud & at an inappropriate moment.
The first shot sounded like the break
of an eight-ball rack, but louder
                                 more resonant. The subsequent squeezes
of the trigger--redundant, more resounding

as they mixed with the shrieks of beer-drinkers.
Hysteria speading among them like wisteria

along a garden fence; its occasional balloons of violet
flowering vividly in the green mesh of its leaves. I remember

lying in such a garden.
remember the lush cologne of pollen & the garnet bees
buzzing their cargo routes between blossoms & a distant apiary.

                                                            ˜

I had thought there was nobody else
in that place, so I was surprised then, when walking its paths later,
to hear weeping. I was amazed
by how sudden & communicable sadness can be--

and how embarrassed the woman became when she glanced up
to see me standing there, the white heart
of a wisteria blossom barely beating in my extended hand. She shook
her head & smiled.

Her face so fragile I thought she'd shatter.

                                                            ˜

Consider the ordinance of griefs:
should one begin with the phenomenal or the ordinary?

I count them on the threads of my shirt
and on the gem-like sparkling of dust

in the slide of light that entrusts itself to my vision.
Then I lose track, distracted by a concert of ambulances & police cruisers: their cacophonic call-and-response.

                                                            ˜

The next morning I heard how the biker's wife insisted
--insisted was the paper's word--it was all her fault:

she had wanted to go out that night.
And her husband, because he loved her
and because it was a lovely October evening & he knew soon he'd have

to stow the Harleys away for winter, because of these things
he agreed, although it was a weeknight
and there'd be an early morning the next day, driving a propane truck.
The jukebox was shaking AC/DC's ""Shook Me All Night Long""

and he had just gotten up for another round . . . 
She never mentions the expression on his face, mouth agape,
suddenly soundless. Then the remaining patrons screaming.

                                                            ˜

After the questioning
and after the gunman took his position in a squad car's back seat &
shrank to two dimensions with its slamming door, the officers
let the bartender back inside

and the owners. The three men sat at a table while one of them
poured whiskey into tall tumblers cored with ice. Nobody spoke.

When they finished their drinks
they simultaneously stood, and, still speechless,
went about cleaning up: one of them counting the till;

the others filling buckets with rags & suds
to start removing blood from the walls & carpet--
a task they knew to be futile

but necessary
like this poem, in the end, whatever its message.

                                                            ˜

Weeks passed & still his bike, a 67 Roadster, stood
outside the bar, reverent as a statue.

Then it was gone although nobody knew where it went
or who took it. But I last saw it

parked there beneath a thin skin of fresh powder
and the splayed glove of light from the bar's bay window.
Inside: a small splatter of what may have been blood
blemished the pool table felt like a location on a map

you can't return to, & the new barman
polished the heavy glass mugs with a rag. Outside
the snow wafted scattershot
like blossoms on a dark wall of ivy."
Man in Clown Outfit,"He's waving a plastic pointer, stiff flag enter lot here, parking
at the edge of Lincoln--bright-yellow clown suit with bold ruffles
   and floppy shoes
(the kind with stuffed toes) and from even a short distance he could be
anyone degraded selling what?, he could be, but he is a man,
   clearly Mexican,
underneath the nose that honks, a black mustache, illegal alien? probably.
Like the girls in bikini tops and grass skirts outside casinos in
   Las Vegas,
who say Come get your free lei (colored plastic wrap á la Hawaii), he does
what he's been told to do: on automatic, flag arm ticking like a metronome.

Underneath the painted smile is another expression--harder to place.
The urgency of traffic, who has time to care?
He takes his job seriously. On the way home, reverse route back, 
he's still there waving, a swimmer treading water."
Quandary,"All night I flew the dark recess of God’s mind.
It was arranged like Iowa fields—

not a damn thing missing.
You ask how I survived.

I lived on a message, broad light
at the end of the world.

Words, they have so much in common with departure,

the clouds elliptical & nervous.
Why translate? It’s just a revolving door.

“Chill wind” has seven
components. One is loss."
"At Lumen-Empty Monastery, Visiting the Hermitage of Master Jung, My Departed Friend","The blue-lotus roof standing beside a pond,
White-Horse Creek tumbling through forests,

and my old friend some strange thing now.
A lingering visitor, alone and grief-stricken

after graveside rites among pines, I return, 
Looking for your sitting-mat spread on rock.

Bamboo that seems always my own thoughts:
It keeps fluttering here at your thatch hut."
Hymn to Dionysos,"O Insewn God—born from Zeus' thigh—
   some folk say in Drakanon,
some in windy Ikaros,
   others say in Naxos,
or by the deep-eddying river Alpheos,
pregnant Semele bore you to thunder-loving Zeus.
Others say you were born in Thebes, Lord,
but all of them lie:
   the father of men and gods gave birth to you
far from people, hidden from white-armed Hera.
There is a certain Nysa, a towering mountain, 
   blooming with woods,
far from Phoenicia, near the streams of Egypt . . .
[missing lines]
""…People will raise many statues in your temples.
Semele, since […] was cut into three, every third year
humans will sacrifice to you a hundred perfect bulls.""
So spoke the son of Kronos nodding his dark-blue brows-
the king's divine hair swirled about
his immortal head, as he shook great Olympos.
With those words, wise Zeus nodded his command.
Be gracious, Insewn, maker of maenads.
We bards sing of you first and last; there is no way
to forget you and still remember holy song.
O Dionysos, God sewn in Zeus' thigh, rejoice
with your mother Semele, whom some call Thyone."
One First Try and then Another,"Careful, a night set on edge 
the European tradition of virtuoso 
and the raw desire to articulate.
I pushed them both backward on the bed in the end
and each played on, one first 
try and then another.
Soft then on succession thought.

The instrument all torso is loved where are held 
fitting the flown down housemartin with a reed
or belying midway uncertainty
in tandem the hands, and acts adolescent.
A natural vaults a natural 
development, his farther back barn jacket 
American and strewn as if spare.

Thought soft the crescendo all along
saws, neither stroke inward or from the heart
except it begins unbecoming
building in roomy youth.
We have our no, libido, go.
Then all limbs arms and loudly I don't want to
play down the skillless touch. "
Burial Practice,"Then the pulse.
Then a pause.
Then twilight in a box.
Dusk underfoot.
Then generations.

*

Then the same war by a different name.
Wine splashing in a bucket.
The erection, the era.
Then exit Reason.
Then sadness without reason.
Then the removal of the ceiling by hand.

*

Then pages & pages of numbers.
Then the page with the faint green stain.
Then the page on which Prince Theodore, gravely wounded, is thrown onto a wagon.
Then the page on which Masha weds somebody else.
Then the page that turns to the story of somebody else.
Then the page scribbled in dactyls.
Then the page which begins Exit Angel.
Then the page wrapped around a dead fish.
Then the page where the serfs reach the ocean.
Then a nap.
Then the peg.
Then the page with the curious helmet.
Then the page on which millet is ground.
Then the death of Ursula.
Then the stone page they raised over her head.
Then the page made of grass which goes on.

*

Exit Beauty.

*

Then the page someone folded to mark her place.
Then the page on which nothing happens.
The page after this page.

Then the transcript.
Knocking within.

Interpretation, then harvest.

*

Exit Want.
Then a love story.

Then a trip to the ruins.
Then & only then the violet agenda.

Then hope without reason.
Then the construction of an underground passage between us."
Bit,"'A slight'


sounded.


Reverberating--in what box?--or reiterated
--like a booster shot. like the roosters in Bishop--
   sustained


(this illustrated by my tilting half a glass of orange juice
up over an empty glass--""I'm a little teapot . . . "";
more precisely: The Mystery Spot, ""Cannons ready!"" 
   horizon to the rim, the extreme verge.
surface tension [J. knew a word for it]--pouring
[not spilling, by virtue of the empty glass, not threatened]
suspended), suspended.


One survived--a part of her part of a part of the story
replaying in excerpts in the Holocaust Museum--the forced, 
   then called a Death,
March through the dead of winter among thousands,
   among hundreds, by spring, tens
of three young women struggling abreast, arms linked 
   so that in turn,
the one in the middle could sleep. 'The whole for a part'


then 'a part for the whole,' her visage. a certain Slant of,
quote, what a bell
meant the sound of [J. would know the word]--
   'synecdoche'), so one of us could sleep.


Heard (as thought)
but also spelled (?!): 'a slight'


--not yet an insult, minor, a slip of a"
Dishwater,"Slap of the screen door, flat knock
of my grandmother's boxy black shoes
on the wooden stoop, the hush and sweep 
of her knob-kneed, cotton-aproned stride 
out to the edge and then, toed in
with a furious twist and heave, 
a bridge that leaps from her hot red hands
and hangs there shining for fifty years
over the mystified chickens, 
over the swaying nettles, the ragweed,
the clay slope down to the creek, 
over the redwing blackbirds in the tops
of the willows, a glorious rainbow
with an empty dishpan swinging at one end."
The Potato,"Three days into the journey
I lost the Inca Trail
and scrambled around the Andes 
in a growing panic
when on a hillside below snowline
I met a farmer who pointed the way—
Machu Picchu allá, he said. 
He knew where I wanted to go. 
From my pack I pulled out an orange.
It seemed to catch fire 
in that high blue Andean sky. 
I gave it to him.
He had been digging in a garden, 
turning up clumps of earth, 
some odd, misshapen nuggets, 
some potatoes.
He handed me one,
a potato the size of the orange
looking as if it had been in the ground
a hundred years,
a potato I carried with me 
until at last I stood gazing down 
on the Urubamba valley, 
peaks rising out of the jungle into clouds, 
and there among the mists 
was the Temple of the Sun
and the Lost City of the Incas.
Looking back now, all these years later,
what I remember most, 
what matters to me most, 
was that farmer, alone on his hillside, 
who gave me a potato,
a potato with its peasant face, 
its lumps and lunar craters, 
a potato that fit perfectly in my hand, 
a potato that consoled me as I walked, 
told me not to fear, 
held me close to the earth,
the potato I put in a pot that night,
the potato I boiled above Machu Picchu,
the patient, gnarled potato 
I ate. "
