Poem Name,Poem Content
A Line-storm Song,"The line-storm clouds fly tattered and swift, 
  The road is forlorn all day, 
Where a myriad snowy quartz stones lift, 
  And the hoof-prints vanish away. 
The roadside flowers, too wet for the bee,
  Expend their bloom in vain. 
Come over the hills and far with me, 
  And be my love in the rain. 
The birds have less to say for themselves 
  In the wood-world’s torn despair
Than now these numberless years the elves, 
  Although they are no less there: 
All song of the woods is crushed like some 
  Wild, easily shattered rose. 
Come, be my love in the wet woods; come,
  Where the boughs rain when it blows. 
There is the gale to urge behind 
  And bruit our singing down, 
And the shallow waters aflutter with wind 
  From which to gather your gown.    
What matter if we go clear to the west, 
  And come not through dry-shod? 
For wilding brooch shall wet your breast 
  The rain-fresh goldenrod. 
Oh, never this whelming east wind swells   
  But it seems like the sea’s return 
To the ancient lands where it left the shells 
  Before the age of the fern; 
And it seems like the time when after doubt 
  Our love came back amain.      
Oh, come forth into the storm and rout 
  And be my love in the rain."
The Weary Blues,"Droning a drowsy syncopated tune,
Rocking back and forth to a mellow croon,
     I heard a Negro play.
Down on Lenox Avenue the other night
By the pale dull pallor of an old gas light
     He did a lazy sway . . .
     He did a lazy sway . . .
To the tune o’ those Weary Blues.
With his ebony hands on each ivory key
He made that poor piano moan with melody.
     O Blues!
Swaying to and fro on his rickety stool
He played that sad raggy tune like a musical fool.
     Sweet Blues!
Coming from a black man’s soul.
     O Blues!
In a deep song voice with a melancholy tone
I heard that Negro sing, that old piano moan—
     ""Ain’t got nobody in all this world,
       Ain’t got nobody but ma self.
       I’s gwine to quit ma frownin’
       And put ma troubles on the shelf.""
Thump, thump, thump, went his foot on the floor.
He played a few chords then he sang some more—
     ""I got the Weary Blues
       And I can’t be satisfied.
       Got the Weary Blues
       And can’t be satisfied—
       I ain’t happy no mo’
       And I wish that I had died.""
And far into the night he crooned that tune.
The stars went out and so did the moon.
The singer stopped playing and went to bed
While the Weary Blues echoed through his head.
He slept like a rock or a man that's dead."
Morning in the Burned House,"In the burned house I am eating breakfast.
You understand: there is no house, there is no breakfast,
yet here I am.
The spoon which was melted scrapes against
the bowl which was melted also.
No one else is around.
Where have they gone to, brother and sister,
mother and father? Off along the shore,
perhaps. Their clothes are still on the hangers,
their dishes piled beside the sink,
which is beside the woodstove
with its grate and sooty kettle,
every detail clear,
tin cup and rippled mirror.
The day is bright and songless,
the lake is blue, the forest watchful.
In the east a bank of cloud
rises up silently like dark bread.
I can see the swirls in the oilcloth,
I can see the flaws in the glass,
those flares where the sun hits them.
I can't see my own arms and legs
or know if this is a trap or blessing,
finding myself back here, where everything
in this house has long been over,
kettle and mirror, spoon and bowl,
including my own body,
including the body I had then,
including the body I have now
as I sit at this morning table, alone and happy,
bare child's feet on the scorched floorboards
(I can almost see)
in my burning clothes, the thin green shorts
and grubby yellow T-shirt
holding my cindery, non-existent,
radiant flesh. Incandescent."
On Living,"I
Living is no laughing matter:
 you must live with great seriousness
  like a squirrel, for example—
   I mean without looking for something beyond and above living,
  I mean living must be your whole occupation.
Living is no laughing matter:
 you must take it seriously,
 so much so and to such a degree
   that, for example, your hands tied behind your back,
                                            your back to the wall,
   or else in a laboratory
 in your white coat and safety glasses,
 you can die for people—
   even for people whose faces you’ve never seen,
   even though you know living
 is the most real, the most beautiful thing.
I mean, you must take living so seriously
   that even at seventy, for example, you’ll plant olive trees—
   and not for your children, either,
   but because although you fear death you don’t believe it,
   because living, I mean, weighs heavier.
II
Let’s say we’re seriously ill, need surgery—
which is to say we might not get up
   from the white table.
Even though it’s impossible not to feel sad
   about going a little too soon,
we’ll still laugh at the jokes being told,
we’ll look out the window to see if it’s raining,
or still wait anxiously
  for the latest newscast. . . 
Let’s say we’re at the front—
 for something worth fighting for, say.
There, in the first offensive, on that very day,
 we might fall on our face, dead.
We’ll know this with a curious anger,
        but we’ll still worry ourselves to death
        about the outcome of the war, which could last years.
Let’s say we’re in prison
and close to fifty,
and we have eighteen more years, say,
                        before the iron doors will open.
We’ll still live with the outside,
with its people and animals, struggle and wind—
                                I  mean with the outside beyond the walls.
I mean, however and wherever we are,
        we must live as if we will never die.
III
This earth will grow cold,
a star among stars
               and one of the smallest,
a gilded mote on blue velvet—
   I mean this, our great earth.
This earth will grow cold one day,
not like a block of ice
or a dead cloud even 
but like an empty walnut it will roll along
   in pitch-black space . . . 
You must grieve for this right now
—you have to feel this sorrow now—
for the world must be loved this much
                               if you’re going to say “I lived”. . ."
I Could Be a Whale Shark,"                     Bolinao, Philippines
 I am worried about tentacles.
How you can still get stung
even if the jelly arm disconnects
from the bell. My husband
swims without me—farther
out to sea than I would like,
buoyed by salt and rind of kelp.
I am worried if I step too far
into the China Sea, my baby
will slow the beautiful kicks
he has just begun since we landed.
The quickening, they call it, 
but all I am is slow, a moon jelly
floating like a bag in the sea.
Or a whale shark. Yes—I could be
a whale shark, newly spotted
with moles from the pregnancy—
my wide mouth always open
to eat and eat with a look that says
Surprise! Did I eat that much?
When I sleep, I am a flutefish,
just lying there, swaying back
and forth among the kelpy mess
of sheets. You can see the wet
of my dark eye awake, awake. 
My husband is a pale blur 
near the horizon, full of adobo
and not waiting thirty minutes 
before swimming. He is free
and waves at me as he backstrokes
past. This is how he prepares
for fatherhood. Such tenderness
still lingers in the air: the Roman
poet Virgil gave his pet fly
the most lavish funeral, complete
with meat feast and barrels 
of oaky wine. You can never know
where or why you hear
a humming on this soft earth.
 "
"Batter my heart, three person'd God (Holy Sonnet 14)","Batter my heart, three-personed God, for you
As yet but knock, breathe, shine, and seek to mend;
That I may rise, and stand, o'erthrow me, and bend
Your force to break, blow, burn, and make me new.
I, like an usurped town, to another due,
Labour to admit you, but Oh, to no end.
Reason, your viceroy in me, me should defend,
But is captived, and proves weak or untrue.
Yet dearly I love you, and would be loved fain,
But am betrothed unto your enemy:
Divorce me, untie or break that knot again,
Take me to you, imprison me, for I,
Except you enthrall me, never shall be free,
Nor ever chaste, except you ravish me."
Theme for English B,"The instructor said,
    Go home and write
    a page tonight.
    And let that page come out of you—
    Then, it will be true.
I wonder if it's that simple?
I am twenty-two, colored, born in Winston-Salem.
I went to school there, then Durham, then here
to this college on the hill above Harlem.
I am the only colored student in my class.
The steps from the hill lead down into Harlem,
through a park, then I cross St. Nicholas,
Eighth Avenue, Seventh, and I come to the Y,
the Harlem Branch Y, where I take the elevator
up to my room, sit down, and write this page:
It's not easy to know what is true for you or me
at twenty-two, my age. But I guess I'm what
I feel and see and hear, Harlem, I hear you:
hear you, hear me—we two—you, me, talk on this page.
(I hear New York, too.) Me—who?
Well, I like to eat, sleep, drink, and be in love.
I like to work, read, learn, and understand life.
I like a pipe for a Christmas present,
or records—Bessie, bop, or Bach.
I guess being colored doesn't make me not like
the same things other folks like who are other races.
So will my page be colored that I write?
Being me, it will not be white.
But it will be
a part of you, instructor.
You are white—
yet a part of me, as I am a part of you.
That's American.
Sometimes perhaps you don't want to be a part of me.
Nor do I often want to be a part of you.
But we are, that's true!
As I learn from you,
I guess you learn from me—
although you're older—and white—
and somewhat more free.
This is my page for English B."
The Negro Speaks of Rivers,"I've known rivers:
I've known rivers ancient as the world and older than the
     flow of human blood in human veins.
My soul has grown deep like the rivers.
I bathed in the Euphrates when dawns were young.
I built my hut near the Congo and it lulled me to sleep.
I looked upon the Nile and raised the pyramids above it.
I heard the singing of the Mississippi when Abe Lincoln
     went down to New Orleans, and I've seen its muddy
     bosom turn all golden in the sunset.
I've known rivers:
Ancient, dusky rivers.
My soul has grown deep like the rivers."
Throwing Children,It is really something when a kid who has a hard time becomes a kid who’s having a good time in no small part thanks to you throwing that kid in the air again and again on a mile long walk home from the Indian joint as her mom looks sideways at you like you don’t need to keep doing this because you’re pouring with sweat and breathing a little bit now you’re getting a good workout but because the kid laughs like a horse up there laughs like a kangaroo beating her wings against the light because she laughs like a happy little kid and when coming down and grabbing your forearm to brace herself for the time when you will drop her which you don’t and slides her hand into yours as she says for the fortieth time the fiftieth time inexhaustible her delight again again again and again and you say give me til the redbud tree or give me til the persimmon tree because she knows the trees and so quiet you almost can’t hear through her giggles she says ok til the next tree when she explodes howling yanking your arm from the socket again again all the wolves and mourning doves flying from her tiny throat and you throw her so high she lives up there in the tree for a minute she notices the ants organizing on the bark and a bumblebee carousing the little unripe persimmon in its beret she laughs and laughs as she hovers up there like a bumblebee like a hummingbird up there giggling in the light like a giddy little girl up there the world knows how to love.
Poem [Lana Turner has collapsed!],"Lana Turner has collapsed!
I was trotting along and suddenly
it started raining and snowing
and you said it was hailing
but hailing hits you on the head
hard so it was really snowing and
raining and I was in such a hurry
to meet you but the traffic
was acting exactly like the sky
and suddenly I see a headline
LANA TURNER HAS COLLAPSED!
there is no snow in Hollywood
there is no rain in California
I have been to lots of parties
and acted perfectly disgraceful
but I never actually collapsed
oh Lana Turner we love you get up"
