Poem Name,Poem Content
The World Seems…,"The world seems so palpable
And dense: people and things
And the landscapes 
They inhabit or move through.

Words, on the other hand, 
Are so abstract—they’re
Made of empty air
Or black scratches on a page
That urge us to utter
Certain sounds.
                           And us:
Poised in the middle, aware
Of the objects out there
Waiting patiently to be named,
As if the right words 
Could save them. 
                               And don’t
They deserve it?      
So much hidden inside each one,
Such a longing 
To become the beloved.

And inside us: the sounds 
That could extend that blessing—
How they crowd our mouths,
How they press up against
Our lips, which are such 
A narrow exit for a joy so desperate."
To Amy Lowell,"who visits me in a hospital

Like a fleet with bellying sails, 
Like the great bulk of a sea-cliff with the staccato bark 
     of waves about it, 
Like the tart tang of the sea breeze
Are you;
Filling the little room where I lie straitly on a white 
     island between pain and pain."
I Got Heaven...,"I swear that, in Gardena, on a moonlit suburban street,
There are souls that twirl like kites lashed to the wrists of the living
And spirits who tumble in a solemn limbo between 164th
And the long river of stars to Amida’s Paradise in the West.

As though I belonged, I’ve come from my life of papers and exile
To walk among these penitents at the Festival of the Dead,
The booths full of sellers hawking rice cakes and candied plums,
All around us the rhythmic chant of min’yo bursting through loudspeakers,
Calling out the mimes and changes to all who dance.

I stop at a booth and watch a man, deeply tanned from work outdoors,
Pitch bright, fresh quarters into blue plastic bowls.
He wins a porcelain cat, a fishnet bag of marbles,
Then a bottle of shōyu, and a rattle shaped like tam-tam he gives to a child.

I hear the words of a Motown tune carry through the gaudy air
…got sunshine on a cloudy day…got the month of May…
As he turns from the booth and re-enters the River of Heaven—
These dancers winding in brocades and silk sleeves,
A faithlit circle briefly as warm in the summer night."
Shakespeare's Horse,"He was a man knew horses, so we moved
As wills were one, and all was won at will,
In hand with such sleight handling as improved
Those parks and parcels where we’re racing still,

Pounding like pairs of hooves or pairs of hearts
Through woodland scenes and lush, dramatic spaces, 
With all our parts in play to play all parts
In pace with pace to put us through his paces.

Ages have passed. All channels channel what
Imagined these green plots and gave them names
Down to the smallest role, if and and but,
What flies the time (the globe gone up in flames),

What thunders back to ring the ringing course
And runs like the streaking will, like Shakespeare’s horse."
Corruptive,"The dark wood after the dark wood: the cold 
after cold in April's false November.
In that second worser place: more gone, less there,
but in that lurid present present, cast and held, 

rooted, kept, like some old false-berried yew. 
Just against; the door leading to preferment 
shut; no longer believing in still, by some, few
means, method, could be, but for the bad day set, 

left, leaning atop bad day. 
       Out- and un-

ranked, toothached, wronged— rankled corruptive thing!
Ill-wishing, in-iquitous, clipped, up-hoped, stripped: just plain: thin.
Dare thy commit: commit this final fatal sin: 
God my God, I am displeased by spring."
In the Sanatorium,"It was after the war.
My father lay in an Austrian sanatorium,
his lungs full of tuberculosis.
Next to him, a young Soviet veteran
needed to confess to another Russian.
He had done something terrible, he said.   
In Kharkov, before the Germans came.
Under orders, he had taken enemies of the state,
shoved them between two stopped trains,
and burned them to death.  Then swept away remains.  
Could he ever be forgiven for such a sin?

How could he know, that tormented man,
that my father’s father was one of the dead?
What chance that these two men would lie, 
shushed to sleep by nurses, bed to bed?

My father, unable to respond, simply averted
his head, refusing to grant comfort.
Riven, six more decades, between two ghosts:
one wasted from coughing, pale; one burning.
Both beyond any word he might have spoken."
Kelly Sleeping,"Sometimes when she sleeps, her face against the pillow (or sheet)
almost achieves an otherworldly peace.

Sometimes when the traffic and bother of the day dissolve
and her deeper self eases out, when sunlight edges 

through curtains and drapes the bed, I know she’s in another place, 
a purer place, which perhaps doesn’t include me,

though certainly includes love, which may include the possibility of me.
Sometimes then her face against the sheet (or pillow)

achieves (almost) an otherworldly calm, (do I dare say that?)
and glows (almost) as it glowed years ago

just after our daughter’s head slipped through the birth canal.

I remember that wet sticky swirl of hair
turning slightly so the slick body might follow more easily,

and how the midwife or nurse or doctor (or someone)
laid an firm open hand under that head

and guided our child into the world.
When that hand laid our daughter on her mother’s breast,

such a sigh followed, a long 

exhausted breath, and (stunned) I saw in my wife’s face 
an ecstasy I knew I’d never (quite) see again."
Thief,"I remember the hour
you stole time from me

and here in these late pages
I try to collect back

the kisses in the parking lot
that erased my history

next to that green F-150
when you became my future."
From Trance Notebook #2 [nerdy questions about exact pitch],"            sell me a clip-on
bow-tie or a mock
fringe chapeau worn on
the collarbone—a
new style of “shoulder
hat,” a cape to
protect your shoulders
from rain and chill and
to prevent the wearer
from sliding (like
Mickey Mantle) into
a third gender
 
__________
 
            now I’ve
reached the “clinker” zone
of perforated opportunities
 
__________
 
 
            —perforated appurtenances
 
____________
 
 
but then Edith Piaf
suddenly thrilled me
 
__________
 
            a newly
discovered Venezuela, a
view—
 
____________
 
            a rendre compte,
a liar on the corner
(thirsty corner) of
23rd and 9th, a gazelle,
a rendezvous chapel
 
 
__________
 
             (a chaplet of
daisies around my
pleurisy brow)—"
Allegorical Baraka,"“the tongues of dying men/enforce attention like deep harmony.”
                                                                   —W.S. Shakespeare

 in memoriam LeRoi Jones/ Amiri Baraka 1934-2014



who wakes you up
bad scenic tapestry
dove barely escaping hawk
villains bandits robber barons
slave traders
an excuse for progress?
who wakes you up
biblical, literal or 
actual rips
in bright kente cloth
or black today
symbolizing “intensified
spiritual energy”
enigmatic dreams 
get made with you
enfolding your selves
o man of social action
lift consciousness
to teach us ugly deeds
toes keep a thrum
upon the body politic
“survival dancing”
& deconstruct for us 
“state control”
harrowing acts of cruelty,
intricacies a Byzantine
cloak and dagger
morality play gets made of
tragic events unfathomable
fury fury fury
or redemption
in verbal spells
(contagious elegance’s
controversial logic)
such sweetness too
in a man you love
turns poetry from
dangerous toy to weapon
lament or dirge
or love song
skillful means, upaya’s wit
rhetoric of praise
& ceremony
or un-censorable blame
jazz riff toward 
visionary plateau 
whose time is come
this is the way it sounds
griot’s call
who’s a daemon?
griot calling
it sounds & poetry
is your gospel
truth who was target
a whole long life
in the struggle
for syntax of revolution
be these accidents or
miracles that bind us
be this friendship
& love
who told it as it is, love of
human freedom is a love supreme
is this buried, mere ornament
poet
saying to one coming up on stage
read like your ancestors are on fire?
chivalric banner guilds
bowstrings
obligatory joust
reluctance in the cities
in the suburbs
but ready to rise
a surreal riddle’s surprise
flee? escape?
surrender?
fight back?
consistency
in the man
looking back…
and moving forward looking back
though he break hearts
he never forgets arke
history & purpose
twin dynamics
for a new-to-come action-poetics
with post-post-post-post 
medieval exegesis
who was this journeyman
plangent messenger
good dark angel Amiri
and could be wrathful too
not about accordance
the whole range is
transcending
human suffering, you dig?
his gleaming steel
uncompromised 
brilliance our reward"
