Poem Name,Poem Link
Song of the Deathless Voice,https://poets.org/poem/song-deathless-voice
The Bride of Corinth [From my grave to wander],https://poets.org/poem/bride-corinth-my-grave-wander
Red Lilies,https://poets.org/poem/red-lilies
First Turn to Me...,https://poets.org/poem/first-turn-me
Living by the Red River (audio only),https://poets.org/poem/living-red-river-audio-only
Moonrise,https://poets.org/poem/moonrise
Song for the Clatter-Bones,https://poets.org/poem/song-clatter-bones
During Wind and Rain,https://poets.org/poem/during-wind-and-rain
The Yellow Bittern (An Bunnan Bui),https://poets.org/poem/yellow-bittern-bunnan-bui
I see the boys of summer,https://poets.org/poem/i-see-boys-summer
Our eunuch dreams,https://poets.org/poem/our-eunuch-dreams
I am Raftery the Poet,https://poets.org/poem/i-am-raftery-poet
The Lady That Loved a Swine,https://poets.org/poem/lady-loved-swine
Angel Shark,https://poets.org/poem/angel-shark
Tiger Shark,https://poets.org/poem/tiger-shark
"Behind Perfume, Only Solitude",https://poets.org/poem/behind-perfume-only-solitude
Adjunct,https://poets.org/poem/adjunct
Prayer,https://poets.org/poem/prayer-0
On Moving Again,https://poets.org/poem/moving-again
The Going,https://poets.org/poem/going-0
Roy Orbison and John Milton Are Still Dreaming,https://poets.org/poem/roy-orbison-and-john-milton-are-still-dreaming
English as a Second Language,https://poets.org/poem/english-second-language
Four Winds,https://poets.org/poem/four-winds-0
The Uses of Distortion,https://poets.org/poem/uses-distortion
To Fanny,https://poets.org/poem/fanny
"I cry your mercy—pity—love!—ay, love",https://poets.org/poem/i-cry-your-mercy-pity-love-ay-love
"The day is gone, and all its sweets are gone",https://poets.org/poem/day-gone-and-all-its-sweets-are-gone
"The Eve of St. Agnes, XXIII, [Out went the taper as she hurried in]",https://poets.org/poem/eve-st-agnes-xxiii-out-went-taper-she-hurried
[Girl]  [Eyes]  [Foreigner],https://poets.org/poem/girl-eyes-foreigner
The Next Table,https://poets.org/poem/next-table
Craftsman of Wine Bowls,https://poets.org/poem/craftsman-wine-bowls
Caesarion,https://poets.org/poem/caesarion
The Snail,https://poets.org/poem/snail
Epitaph on a Hare,https://poets.org/poem/epitaph-hare
Ah! Sunflower,https://poets.org/poem/ah-sunflower
The Cruel Mother,https://poets.org/poem/cruel-mother
"Come, said my Soul",https://poets.org/poem/come-said-my-soul
"The Task, Book II, A Time-Piece [excerpt]",https://poets.org/poem/task-book-ii-time-piece-excerpt
"Olney Hymns, XLVIII [Joy and Peace in Believing]",https://poets.org/poem/olney-hymns-xlviii-joy-and-peace-believing
"Olney Hymns, I, [Walking with God]",https://poets.org/poem/olney-hymns-i-walking-god
The Cruel Mother,https://poets.org/poem/cruel-mother
"Come, said my Soul",https://poets.org/poem/come-said-my-soul
"The Task, Book II, A Time-Piece [excerpt]",https://poets.org/poem/task-book-ii-time-piece-excerpt
"Olney Hymns, XLVIII [Joy and Peace in Believing]",https://poets.org/poem/olney-hymns-xlviii-joy-and-peace-believing
"Olney Hymns, I, [Walking with God]",https://poets.org/poem/olney-hymns-i-walking-god
The Secret of Light,https://poets.org/poem/secret-light
The Yoke,https://poets.org/poem/yoke
The Branches,https://poets.org/poem/branches
Red Cloth,https://poets.org/poem/red-cloth
Noisetone,https://poets.org/poem/noisetone
The Face of All the World (Sonnet 7),https://poets.org/poem/face-all-world-sonnet-7
Daniel Boone,https://poets.org/poem/daniel-boone
Metropolitan Nightmare,https://poets.org/poem/metropolitan-nightmare
John Brown's Body [There were three stout pillars that held up all],https://poets.org/poem/john-browns-body-there-were-three-stout-pillars-held-all
A Bird came down the Walk (328),https://poets.org/poem/bird-came-down-walk-328
To the Saguaro Cactus Tree in the Desert Rain,https://poets.org/poem/saguaro-cactus-tree-desert-rain
White Clover,https://poets.org/poem/white-clover
The Book of the Dead Man (Nothing),https://poets.org/poem/book-dead-man-nothing
The Book of the Dead Man (Your Hands),https://poets.org/poem/book-dead-man-your-hands
Mint,https://poets.org/poem/mint
Return to Winter,https://poets.org/poem/return-winter
"Bagram, Afghanistan, 2002",https://poets.org/poem/bagram-afghanistan-2002
Mint,https://poets.org/poem/mint
Shells,https://poets.org/poem/shells
Ships That Pass in the Night,https://poets.org/poem/ships-pass-night
The Debt,https://poets.org/poem/debt
The Book of the Dead Man (The Foundry),https://poets.org/poem/book-dead-man-foundry
The Book of the Dead Man (Fungi),https://poets.org/poem/book-dead-man-fungi
Adam's Curse,https://poets.org/poem/adams-curse
To Dorothy,https://poets.org/poem/dorothy
To an Adolescent Weeping Willow,https://poets.org/poem/adolescent-weeping-willow
Tender Buttons [Chicken],https://poets.org/poem/tender-buttons-chicken
Hummingbird,https://poets.org/poem/hummingbird
To a Skylark,https://poets.org/poem/skylark
Rose Aylmer,https://poets.org/poem/rose-aylmer
What To Do About Sharks,https://poets.org/poem/what-do-about-sharks
The Sharks,https://poets.org/poem/sharks
Inheritance of Waterfalls and Sharks,https://poets.org/poem/inheritance-waterfalls-and-sharks
The Shark,https://poets.org/poem/shark-3
The Last Slow Days of Summer,https://poets.org/poem/last-slow-days-summer
Making the Bed,https://poets.org/poem/making-bed
The Shark's Parlor,https://poets.org/poem/sharks-parlor
Plague of Dead Sharks,https://poets.org/poem/plague-dead-sharks
Ashore,https://poets.org/poem/ashore
Sharks' Teeth,https://poets.org/poem/sharks-teeth
The Steel Rippers,https://poets.org/poem/steel-rippers
At Shark Reef Sanctuary,https://poets.org/poem/shark-reef-sanctuary
Rome,https://poets.org/poem/rome
Summer Past,https://poets.org/poem/summer-past
Coffee and Oranges,https://poets.org/poem/coffee-and-oranges
"Summer Night, Riverside",https://poets.org/poem/summer-night-riverside
Shoal of Sharks,https://poets.org/poem/shoal-sharks
Warm Summer Sun,https://poets.org/poem/warm-summer-sun
In Summer,https://poets.org/poem/summer
Back Yard,https://poets.org/poem/back-yard
Idyll,https://poets.org/poem/idyll
Summer Song,https://poets.org/poem/summer-song
Ants and Sharks,https://poets.org/poem/ants-and-sharks
Spring Day [Bath],https://poets.org/poem/spring-day-bath
"For Once, Then, Something",https://poets.org/poem/once-then-something
"Untitled [There, by the crescent moon, the shark]",https://poets.org/poem/untitled-there-crescent-moon-shark
The Shark,https://poets.org/poem/shark-0
The Sirens,https://poets.org/poem/sirens
The Ripple Effect,https://poets.org/poem/ripple-effect
Seal Lullaby,https://poets.org/poem/seal-lullaby
Untitled [You mustn't swim till you're six weeks old],https://poets.org/poem/untitled-you-mustnt-swim-till-youre-six-weeks-old
Haunted Seas,https://poets.org/poem/haunted-seas
Submarine Mountains,https://poets.org/poem/submarine-mountains
Flying Fish: An Ode [excerpt],https://poets.org/poem/flying-fish-ode-excerpt
The Bluefish,https://poets.org/poem/bluefish
The Immanent God,https://poets.org/poem/immanent-god
Song of the Paddlers [excerpt],https://poets.org/poem/song-paddlers-excerpt
"After Reading ""Antony and Cleopatra""",https://poets.org/poem/after-reading-antony-and-cleopatra
Summer [excerpt],https://poets.org/poem/summer-excerpt
The Shark,https://poets.org/poem/shark-1
The Shark,https://poets.org/poem/shark-2
Upon Shark,https://poets.org/poem/upon-shark
In a Breath,https://poets.org/poem/breath
World Below the Brine,https://poets.org/poem/world-below-brine
I Wonder What It Feels Like to be Drowned?,https://poets.org/poem/i-wonder-what-it-feels-be-drowned
The Maldive Shark,https://poets.org/poem/maldive-shark
The Drum Room,https://poets.org/poem/drum-room
A Toast to the Men,https://poets.org/poem/toast-men
On Quitting,https://poets.org/poem/quitting
Thanksgiving,https://poets.org/poem/thanksgiving
Only a Dad,https://poets.org/poem/only-dad
A Boy and His Dad,https://poets.org/poem/boy-and-his-dad
Bulb Planting Time,https://poets.org/poem/bulb-planting-time
Epigrams: On my First Son,https://poets.org/poem/epigrams-my-first-son
To Her Father with Some Verses,https://poets.org/poem/her-father-some-verses
Father,https://poets.org/poem/father
"Meeting Again, After Heine",https://poets.org/poem/meeting-again-after-heine
Shanked on the Red Bed,https://poets.org/poem/shanked-red-bed
Charity Must Abide Call for Ancient Occupation,https://poets.org/poem/charity-must-abide-call-ancient-occupation
Roanoke and Wampumpeag,https://poets.org/poem/roanoke-and-wampumpeag
The Green Stamp Book,https://poets.org/poem/green-stamp-book
If It All Went up in Smoke,https://poets.org/poem/if-it-all-went-smoke
It Was Not Him (audio only),https://poets.org/poem/it-was-not-him-audio-only
Joan (audio only),https://poets.org/poem/joan-audio-only
Lady Tactics (audio only),https://poets.org/poem/lady-tactics-audio-only
Tent (audio only),https://poets.org/poem/tent-audio-only
Untitled [So what is it then] (audio only),https://poets.org/poem/untitled-so-what-it-then-audio-only
Google Me Soon (audio only),https://poets.org/poem/google-me-soon-audio-only
It Was Not Him (audio only),https://poets.org/poem/it-was-not-him-audio-only
Joan (audio only),https://poets.org/poem/joan-audio-only
Lady Tactics (audio only),https://poets.org/poem/lady-tactics-audio-only
Rhyme of My Inheritance (audio only),https://poets.org/poem/rhyme-my-inheritance-audio-only
Susan's Photograph (audio only),https://poets.org/poem/susans-photograph-audio-only
Triggerfish (audio only),https://poets.org/poem/triggerfish-audio-only
Los Dos Rancheros (audio only),https://poets.org/poem/los-dos-rancheros-audio-only
Parrotfish (audio only),https://poets.org/poem/parrotfish-audio-only
Real Time (audio only),https://poets.org/poem/real-time-audio-only
[Time (Outside the Quincunx)] (audio only),https://poets.org/poem/time-outside-quincunx-audio-only
"As kingfishers catch fire, dragonflies draw flame",https://poets.org/poem/kingfishers-catch-fire-dragonflies-draw-flame
Tender Buttons [Apple],https://poets.org/poem/tender-buttons-apple
Disillusionment of Ten O'Clock,https://poets.org/poem/disillusionment-ten-oclock
Forced Bloom,https://poets.org/poem/forced-bloom
The City of God,https://poets.org/poem/city-god
Travel,https://poets.org/poem/travel
What Do I Care,https://poets.org/poem/what-do-i-care
Travel,https://poets.org/poem/travel
What Do I Care,https://poets.org/poem/what-do-i-care
Grass,https://poets.org/poem/grass
Four Preludes on Playthings of the Wind,https://poets.org/poem/four-preludes-playthings-wind
Caboose Thoughts,https://poets.org/poem/caboose-thoughts
Prayers of Steel,https://poets.org/poem/prayers-steel
Loam,https://poets.org/poem/loam
Testament,https://poets.org/poem/testament
Languages,https://poets.org/poem/languages
Xicano,https://poets.org/poem/xicano
White,https://poets.org/poem/white
The Heart of the Woman,https://poets.org/poem/heart-woman-0
Unfolded Out of the Folds,https://poets.org/poem/unfolded-out-folds
Poems Done on a Late Night Car,https://poets.org/poem/poems-done-late-night-car
Delicate Cluster,https://poets.org/poem/delicate-cluster
The Player Queen,https://poets.org/poem/player-queen
Semite,https://poets.org/poem/semite
Wilderness,https://poets.org/poem/wilderness
How Simile Works,https://poets.org/poem/how-simile-works
Barter,https://poets.org/poem/barter
Barter,https://poets.org/poem/barter
Piano,https://poets.org/poem/piano
Last Words to Miriam,https://poets.org/poem/last-words-miriam
Whoever You Are Holding Me Now in Hand,https://poets.org/poem/whoever-you-are-holding-me-now-hand
I Am!,https://poets.org/poem/i-am
The Sleepers,https://poets.org/poem/sleepers
"Hymn to God, My God, in My Sickness",https://poets.org/poem/hymn-god-my-god-my-sickness
But Men Loved Darkness Rather Than Light,https://poets.org/poem/men-loved-darkness-rather-light
Going for Water,https://poets.org/poem/going-water
Greeter of Souls,https://poets.org/poem/greeter-souls
Trapeze (audio only),https://poets.org/poem/trapeze-audio-only
Fence of Sticks (audio only),https://poets.org/poem/fence-sticks-audio-only
Farewell,https://poets.org/poem/farewell
Improvisation on Lines by Isaac the Blind,https://poets.org/poem/improvisation-lines-isaac-blind
The Ghazal of What Hurt,https://poets.org/poem/ghazal-what-hurt
Unbidden,https://poets.org/poem/unbidden
Floater,https://poets.org/poem/floater
History of Hurricanes,https://poets.org/poem/history-hurricanes
An Ode to Himself,https://poets.org/poem/ode-himself
On Poet-Ape,https://poets.org/poem/poet-ape
Blue or Green,https://poets.org/poem/blue-or-green
Diary of a Wave Outside the Sea [The martyr couldn’t believe his eyes],https://poets.org/poem/diary-wave-outside-sea-martyr-couldnt-believe-his-eyes
"This Nest, Swift Passerine [excerpt]",https://poets.org/poem/nest-swift-passerine-excerpt
Dangerous Astronomy,https://poets.org/poem/dangerous-astronomy
Goldfish Are Ordinary,https://poets.org/poem/goldfish-are-ordinary
Below the Earth,https://poets.org/poem/below-earth
Where Man Is in His Whole,https://poets.org/poem/where-man-his-whole
The Split Ends of My Beard Have Split Ends,https://poets.org/poem/split-ends-my-beard-have-split-ends
Jellyfish,https://poets.org/poem/jellyfish
Heading Home,https://poets.org/poem/heading-home
What I Disliked about the Pleistocene Era,https://poets.org/poem/what-i-disliked-about-pleistocene-era
Long after Hopkins,https://poets.org/poem/long-after-hopkins
A Fear of Old Age,https://poets.org/poem/fear-old-age
My Brother's Mirror,https://poets.org/poem/my-brothers-mirror
Ode on Dictionaries,https://poets.org/poem/ode-dictionaries
Talking About New Orleans,https://poets.org/poem/talking-about-new-orleans
Gloss,https://poets.org/poem/gloss
Transit of Venus,https://poets.org/poem/transit-venus
If the Delta Was the Sea,https://poets.org/poem/if-delta-was-sea
Lion and Gin,https://poets.org/poem/lion-and-gin
"[In Colorado, In Oregon, upon]",https://poets.org/poem/colorado-oregon-upon
