Poem Name,Poem Content
Scar (audio only),Click the icon above to listen to this audio poem.
Sequelae (audio only),Click the icon above to listen to this audio poem.
Teacher (audio only),Click the icon above to listen to this audio poem.
The Old Days (audio only),Click the icon above to listen to this audio poem.
Power (audio only),Click the icon above to listen to this audio poem.
Touring (audio only),Click the icon above to listen to this audio poem.
Black Mother Woman (audio only),Click the icon above to listen to this audio poem.
Blackstudies (audio only),Click the icon above to listen to this audio poem.
Chain (audio only),Click on the icon above to listen to this audio poem.
Meet (audio only),Click the icon above to listen to this audio poem.
Harriet (audio only),Click on the icon above to listen to this audio poem.
From The House Of Yemanjá (audio only),Click on the icon above to listen to this audio poem.
For Assata (audio only),Click on the icon above to listen to this audio poem.
